Sample	command
R10_S123915	fastp --thread 4 --in1 data_processed/fastq/R10_S123915.fastq.gz --out1 data_processed/fastq_trimmed/R10_S123915_trimmed.fastq.gz --html reports/QC_fastp/R10_S123915_fastp.html --json reports/QC_fastp/R10_S123915_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R11_S123918	fastp --thread 4 --in1 data_processed/fastq/R11_S123918.fastq.gz --out1 data_processed/fastq_trimmed/R11_S123918_trimmed.fastq.gz --html reports/QC_fastp/R11_S123918_fastp.html --json reports/QC_fastp/R11_S123918_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R12_S123917	fastp --thread 4 --in1 data_processed/fastq/R12_S123917.fastq.gz --out1 data_processed/fastq_trimmed/R12_S123917_trimmed.fastq.gz --html reports/QC_fastp/R12_S123917_fastp.html --json reports/QC_fastp/R12_S123917_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R13_S123920	fastp --thread 4 --in1 data_processed/fastq/R13_S123920.fastq.gz --out1 data_processed/fastq_trimmed/R13_S123920_trimmed.fastq.gz --html reports/QC_fastp/R13_S123920_fastp.html --json reports/QC_fastp/R13_S123920_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R14_S123919	fastp --thread 4 --in1 data_processed/fastq/R14_S123919.fastq.gz --out1 data_processed/fastq_trimmed/R14_S123919_trimmed.fastq.gz --html reports/QC_fastp/R14_S123919_fastp.html --json reports/QC_fastp/R14_S123919_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R15_S123922	fastp --thread 4 --in1 data_processed/fastq/R15_S123922.fastq.gz --out1 data_processed/fastq_trimmed/R15_S123922_trimmed.fastq.gz --html reports/QC_fastp/R15_S123922_fastp.html --json reports/QC_fastp/R15_S123922_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R16_S123921	fastp --thread 4 --in1 data_processed/fastq/R16_S123921.fastq.gz --out1 data_processed/fastq_trimmed/R16_S123921_trimmed.fastq.gz --html reports/QC_fastp/R16_S123921_fastp.html --json reports/QC_fastp/R16_S123921_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R17_S123924	fastp --thread 4 --in1 data_processed/fastq/R17_S123924.fastq.gz --out1 data_processed/fastq_trimmed/R17_S123924_trimmed.fastq.gz --html reports/QC_fastp/R17_S123924_fastp.html --json reports/QC_fastp/R17_S123924_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R18_S123923	fastp --thread 4 --in1 data_processed/fastq/R18_S123923.fastq.gz --out1 data_processed/fastq_trimmed/R18_S123923_trimmed.fastq.gz --html reports/QC_fastp/R18_S123923_fastp.html --json reports/QC_fastp/R18_S123923_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R19_S123890	fastp --thread 4 --in1 data_processed/fastq/R19_S123890.fastq.gz --out1 data_processed/fastq_trimmed/R19_S123890_trimmed.fastq.gz --html reports/QC_fastp/R19_S123890_fastp.html --json reports/QC_fastp/R19_S123890_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R1_S123908	fastp --thread 4 --in1 data_processed/fastq/R1_S123908.fastq.gz --out1 data_processed/fastq_trimmed/R1_S123908_trimmed.fastq.gz --html reports/QC_fastp/R1_S123908_fastp.html --json reports/QC_fastp/R1_S123908_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R20_S123889	fastp --thread 4 --in1 data_processed/fastq/R20_S123889.fastq.gz --out1 data_processed/fastq_trimmed/R20_S123889_trimmed.fastq.gz --html reports/QC_fastp/R20_S123889_fastp.html --json reports/QC_fastp/R20_S123889_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R21_S123892	fastp --thread 4 --in1 data_processed/fastq/R21_S123892.fastq.gz --out1 data_processed/fastq_trimmed/R21_S123892_trimmed.fastq.gz --html reports/QC_fastp/R21_S123892_fastp.html --json reports/QC_fastp/R21_S123892_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R22_S123891	fastp --thread 4 --in1 data_processed/fastq/R22_S123891.fastq.gz --out1 data_processed/fastq_trimmed/R22_S123891_trimmed.fastq.gz --html reports/QC_fastp/R22_S123891_fastp.html --json reports/QC_fastp/R22_S123891_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R23_S123894	fastp --thread 4 --in1 data_processed/fastq/R23_S123894.fastq.gz --out1 data_processed/fastq_trimmed/R23_S123894_trimmed.fastq.gz --html reports/QC_fastp/R23_S123894_fastp.html --json reports/QC_fastp/R23_S123894_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R24_S123893	fastp --thread 4 --in1 data_processed/fastq/R24_S123893.fastq.gz --out1 data_processed/fastq_trimmed/R24_S123893_trimmed.fastq.gz --html reports/QC_fastp/R24_S123893_fastp.html --json reports/QC_fastp/R24_S123893_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R25_S123896	fastp --thread 4 --in1 data_processed/fastq/R25_S123896.fastq.gz --out1 data_processed/fastq_trimmed/R25_S123896_trimmed.fastq.gz --html reports/QC_fastp/R25_S123896_fastp.html --json reports/QC_fastp/R25_S123896_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R26_S123895	fastp --thread 4 --in1 data_processed/fastq/R26_S123895.fastq.gz --out1 data_processed/fastq_trimmed/R26_S123895_trimmed.fastq.gz --html reports/QC_fastp/R26_S123895_fastp.html --json reports/QC_fastp/R26_S123895_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R27_S123898	fastp --thread 4 --in1 data_processed/fastq/R27_S123898.fastq.gz --out1 data_processed/fastq_trimmed/R27_S123898_trimmed.fastq.gz --html reports/QC_fastp/R27_S123898_fastp.html --json reports/QC_fastp/R27_S123898_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R28_S123897	fastp --thread 4 --in1 data_processed/fastq/R28_S123897.fastq.gz --out1 data_processed/fastq_trimmed/R28_S123897_trimmed.fastq.gz --html reports/QC_fastp/R28_S123897_fastp.html --json reports/QC_fastp/R28_S123897_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R29_S123900	fastp --thread 4 --in1 data_processed/fastq/R29_S123900.fastq.gz --out1 data_processed/fastq_trimmed/R29_S123900_trimmed.fastq.gz --html reports/QC_fastp/R29_S123900_fastp.html --json reports/QC_fastp/R29_S123900_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R2_S123907	fastp --thread 4 --in1 data_processed/fastq/R2_S123907.fastq.gz --out1 data_processed/fastq_trimmed/R2_S123907_trimmed.fastq.gz --html reports/QC_fastp/R2_S123907_fastp.html --json reports/QC_fastp/R2_S123907_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R30_S123899	fastp --thread 4 --in1 data_processed/fastq/R30_S123899.fastq.gz --out1 data_processed/fastq_trimmed/R30_S123899_trimmed.fastq.gz --html reports/QC_fastp/R30_S123899_fastp.html --json reports/QC_fastp/R30_S123899_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R31_S123902	fastp --thread 4 --in1 data_processed/fastq/R31_S123902.fastq.gz --out1 data_processed/fastq_trimmed/R31_S123902_trimmed.fastq.gz --html reports/QC_fastp/R31_S123902_fastp.html --json reports/QC_fastp/R31_S123902_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R32_S123901	fastp --thread 4 --in1 data_processed/fastq/R32_S123901.fastq.gz --out1 data_processed/fastq_trimmed/R32_S123901_trimmed.fastq.gz --html reports/QC_fastp/R32_S123901_fastp.html --json reports/QC_fastp/R32_S123901_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R33_S123904	fastp --thread 4 --in1 data_processed/fastq/R33_S123904.fastq.gz --out1 data_processed/fastq_trimmed/R33_S123904_trimmed.fastq.gz --html reports/QC_fastp/R33_S123904_fastp.html --json reports/QC_fastp/R33_S123904_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R34_S123903	fastp --thread 4 --in1 data_processed/fastq/R34_S123903.fastq.gz --out1 data_processed/fastq_trimmed/R34_S123903_trimmed.fastq.gz --html reports/QC_fastp/R34_S123903_fastp.html --json reports/QC_fastp/R34_S123903_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R35_S123906	fastp --thread 4 --in1 data_processed/fastq/R35_S123906.fastq.gz --out1 data_processed/fastq_trimmed/R35_S123906_trimmed.fastq.gz --html reports/QC_fastp/R35_S123906_fastp.html --json reports/QC_fastp/R35_S123906_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R36_S123905	fastp --thread 4 --in1 data_processed/fastq/R36_S123905.fastq.gz --out1 data_processed/fastq_trimmed/R36_S123905_trimmed.fastq.gz --html reports/QC_fastp/R36_S123905_fastp.html --json reports/QC_fastp/R36_S123905_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R3_S123910	fastp --thread 4 --in1 data_processed/fastq/R3_S123910.fastq.gz --out1 data_processed/fastq_trimmed/R3_S123910_trimmed.fastq.gz --html reports/QC_fastp/R3_S123910_fastp.html --json reports/QC_fastp/R3_S123910_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R4_S123909	fastp --thread 4 --in1 data_processed/fastq/R4_S123909.fastq.gz --out1 data_processed/fastq_trimmed/R4_S123909_trimmed.fastq.gz --html reports/QC_fastp/R4_S123909_fastp.html --json reports/QC_fastp/R4_S123909_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R5_S123912	fastp --thread 4 --in1 data_processed/fastq/R5_S123912.fastq.gz --out1 data_processed/fastq_trimmed/R5_S123912_trimmed.fastq.gz --html reports/QC_fastp/R5_S123912_fastp.html --json reports/QC_fastp/R5_S123912_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R6_S123911	fastp --thread 4 --in1 data_processed/fastq/R6_S123911.fastq.gz --out1 data_processed/fastq_trimmed/R6_S123911_trimmed.fastq.gz --html reports/QC_fastp/R6_S123911_fastp.html --json reports/QC_fastp/R6_S123911_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R7_S123914	fastp --thread 4 --in1 data_processed/fastq/R7_S123914.fastq.gz --out1 data_processed/fastq_trimmed/R7_S123914_trimmed.fastq.gz --html reports/QC_fastp/R7_S123914_fastp.html --json reports/QC_fastp/R7_S123914_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R8_S123913	fastp --thread 4 --in1 data_processed/fastq/R8_S123913.fastq.gz --out1 data_processed/fastq_trimmed/R8_S123913_trimmed.fastq.gz --html reports/QC_fastp/R8_S123913_fastp.html --json reports/QC_fastp/R8_S123913_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
R9_S123916	fastp --thread 4 --in1 data_processed/fastq/R9_S123916.fastq.gz --out1 data_processed/fastq_trimmed/R9_S123916_trimmed.fastq.gz --html reports/QC_fastp/R9_S123916_fastp.html --json reports/QC_fastp/R9_S123916_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_100_0_S106529	fastp --thread 4 --in1 data_processed/fastq/S_100_0_S106529.fastq.gz --out1 data_processed/fastq_trimmed/S_100_0_S106529_trimmed.fastq.gz --html reports/QC_fastp/S_100_0_S106529_fastp.html --json reports/QC_fastp/S_100_0_S106529_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_101_0_S106532	fastp --thread 4 --in1 data_processed/fastq/S_101_0_S106532.fastq.gz --out1 data_processed/fastq_trimmed/S_101_0_S106532_trimmed.fastq.gz --html reports/QC_fastp/S_101_0_S106532_fastp.html --json reports/QC_fastp/S_101_0_S106532_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_102_0_S106531	fastp --thread 4 --in1 data_processed/fastq/S_102_0_S106531.fastq.gz --out1 data_processed/fastq_trimmed/S_102_0_S106531_trimmed.fastq.gz --html reports/QC_fastp/S_102_0_S106531_fastp.html --json reports/QC_fastp/S_102_0_S106531_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_103_0_S106534	fastp --thread 4 --in1 data_processed/fastq/S_103_0_S106534.fastq.gz --out1 data_processed/fastq_trimmed/S_103_0_S106534_trimmed.fastq.gz --html reports/QC_fastp/S_103_0_S106534_fastp.html --json reports/QC_fastp/S_103_0_S106534_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_104_0_S106533	fastp --thread 4 --in1 data_processed/fastq/S_104_0_S106533.fastq.gz --out1 data_processed/fastq_trimmed/S_104_0_S106533_trimmed.fastq.gz --html reports/QC_fastp/S_104_0_S106533_fastp.html --json reports/QC_fastp/S_104_0_S106533_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_106_0_S106536	fastp --thread 4 --in1 data_processed/fastq/S_106_0_S106536.fastq.gz --out1 data_processed/fastq_trimmed/S_106_0_S106536_trimmed.fastq.gz --html reports/QC_fastp/S_106_0_S106536_fastp.html --json reports/QC_fastp/S_106_0_S106536_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_107_0_S106535	fastp --thread 4 --in1 data_processed/fastq/S_107_0_S106535.fastq.gz --out1 data_processed/fastq_trimmed/S_107_0_S106535_trimmed.fastq.gz --html reports/QC_fastp/S_107_0_S106535_fastp.html --json reports/QC_fastp/S_107_0_S106535_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_108_0_S106538	fastp --thread 4 --in1 data_processed/fastq/S_108_0_S106538.fastq.gz --out1 data_processed/fastq_trimmed/S_108_0_S106538_trimmed.fastq.gz --html reports/QC_fastp/S_108_0_S106538_fastp.html --json reports/QC_fastp/S_108_0_S106538_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_109_0_S106537	fastp --thread 4 --in1 data_processed/fastq/S_109_0_S106537.fastq.gz --out1 data_processed/fastq_trimmed/S_109_0_S106537_trimmed.fastq.gz --html reports/QC_fastp/S_109_0_S106537_fastp.html --json reports/QC_fastp/S_109_0_S106537_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_10_0_S115926	fastp --thread 4 --in1 data_processed/fastq/S_10_0_S115926.fastq.gz --out1 data_processed/fastq_trimmed/S_10_0_S115926_trimmed.fastq.gz --html reports/QC_fastp/S_10_0_S115926_fastp.html --json reports/QC_fastp/S_10_0_S115926_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_11_0_S115929	fastp --thread 4 --in1 data_processed/fastq/S_11_0_S115929.fastq.gz --out1 data_processed/fastq_trimmed/S_11_0_S115929_trimmed.fastq.gz --html reports/QC_fastp/S_11_0_S115929_fastp.html --json reports/QC_fastp/S_11_0_S115929_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_12_0_S115928	fastp --thread 4 --in1 data_processed/fastq/S_12_0_S115928.fastq.gz --out1 data_processed/fastq_trimmed/S_12_0_S115928_trimmed.fastq.gz --html reports/QC_fastp/S_12_0_S115928_fastp.html --json reports/QC_fastp/S_12_0_S115928_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_13_0_S115931	fastp --thread 4 --in1 data_processed/fastq/S_13_0_S115931.fastq.gz --out1 data_processed/fastq_trimmed/S_13_0_S115931_trimmed.fastq.gz --html reports/QC_fastp/S_13_0_S115931_fastp.html --json reports/QC_fastp/S_13_0_S115931_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_14_0_S115930	fastp --thread 4 --in1 data_processed/fastq/S_14_0_S115930.fastq.gz --out1 data_processed/fastq_trimmed/S_14_0_S115930_trimmed.fastq.gz --html reports/QC_fastp/S_14_0_S115930_fastp.html --json reports/QC_fastp/S_14_0_S115930_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_15_0_S115933	fastp --thread 4 --in1 data_processed/fastq/S_15_0_S115933.fastq.gz --out1 data_processed/fastq_trimmed/S_15_0_S115933_trimmed.fastq.gz --html reports/QC_fastp/S_15_0_S115933_fastp.html --json reports/QC_fastp/S_15_0_S115933_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_16_0_S106451	fastp --thread 4 --in1 data_processed/fastq/S_16_0_S106451.fastq.gz --out1 data_processed/fastq_trimmed/S_16_0_S106451_trimmed.fastq.gz --html reports/QC_fastp/S_16_0_S106451_fastp.html --json reports/QC_fastp/S_16_0_S106451_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_16_0_S115932	fastp --thread 4 --in1 data_processed/fastq/S_16_0_S115932.fastq.gz --out1 data_processed/fastq_trimmed/S_16_0_S115932_trimmed.fastq.gz --html reports/QC_fastp/S_16_0_S115932_fastp.html --json reports/QC_fastp/S_16_0_S115932_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_17_0_S106454	fastp --thread 4 --in1 data_processed/fastq/S_17_0_S106454.fastq.gz --out1 data_processed/fastq_trimmed/S_17_0_S106454_trimmed.fastq.gz --html reports/QC_fastp/S_17_0_S106454_fastp.html --json reports/QC_fastp/S_17_0_S106454_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_17_0_S115935	fastp --thread 4 --in1 data_processed/fastq/S_17_0_S115935.fastq.gz --out1 data_processed/fastq_trimmed/S_17_0_S115935_trimmed.fastq.gz --html reports/QC_fastp/S_17_0_S115935_fastp.html --json reports/QC_fastp/S_17_0_S115935_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_18_0_S106453	fastp --thread 4 --in1 data_processed/fastq/S_18_0_S106453.fastq.gz --out1 data_processed/fastq_trimmed/S_18_0_S106453_trimmed.fastq.gz --html reports/QC_fastp/S_18_0_S106453_fastp.html --json reports/QC_fastp/S_18_0_S106453_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_18_0_S115934	fastp --thread 4 --in1 data_processed/fastq/S_18_0_S115934.fastq.gz --out1 data_processed/fastq_trimmed/S_18_0_S115934_trimmed.fastq.gz --html reports/QC_fastp/S_18_0_S115934_fastp.html --json reports/QC_fastp/S_18_0_S115934_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_19_0_S106456	fastp --thread 4 --in1 data_processed/fastq/S_19_0_S106456.fastq.gz --out1 data_processed/fastq_trimmed/S_19_0_S106456_trimmed.fastq.gz --html reports/QC_fastp/S_19_0_S106456_fastp.html --json reports/QC_fastp/S_19_0_S106456_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_19_0_S115937	fastp --thread 4 --in1 data_processed/fastq/S_19_0_S115937.fastq.gz --out1 data_processed/fastq_trimmed/S_19_0_S115937_trimmed.fastq.gz --html reports/QC_fastp/S_19_0_S115937_fastp.html --json reports/QC_fastp/S_19_0_S115937_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_1_0_S115919	fastp --thread 4 --in1 data_processed/fastq/S_1_0_S115919.fastq.gz --out1 data_processed/fastq_trimmed/S_1_0_S115919_trimmed.fastq.gz --html reports/QC_fastp/S_1_0_S115919_fastp.html --json reports/QC_fastp/S_1_0_S115919_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_20_0_S106455	fastp --thread 4 --in1 data_processed/fastq/S_20_0_S106455.fastq.gz --out1 data_processed/fastq_trimmed/S_20_0_S106455_trimmed.fastq.gz --html reports/QC_fastp/S_20_0_S106455_fastp.html --json reports/QC_fastp/S_20_0_S106455_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_20_0_S115936	fastp --thread 4 --in1 data_processed/fastq/S_20_0_S115936.fastq.gz --out1 data_processed/fastq_trimmed/S_20_0_S115936_trimmed.fastq.gz --html reports/QC_fastp/S_20_0_S115936_fastp.html --json reports/QC_fastp/S_20_0_S115936_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_21_0_S106458	fastp --thread 4 --in1 data_processed/fastq/S_21_0_S106458.fastq.gz --out1 data_processed/fastq_trimmed/S_21_0_S106458_trimmed.fastq.gz --html reports/QC_fastp/S_21_0_S106458_fastp.html --json reports/QC_fastp/S_21_0_S106458_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_21_0_S115939	fastp --thread 4 --in1 data_processed/fastq/S_21_0_S115939.fastq.gz --out1 data_processed/fastq_trimmed/S_21_0_S115939_trimmed.fastq.gz --html reports/QC_fastp/S_21_0_S115939_fastp.html --json reports/QC_fastp/S_21_0_S115939_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_22_0_S115938	fastp --thread 4 --in1 data_processed/fastq/S_22_0_S115938.fastq.gz --out1 data_processed/fastq_trimmed/S_22_0_S115938_trimmed.fastq.gz --html reports/QC_fastp/S_22_0_S115938_fastp.html --json reports/QC_fastp/S_22_0_S115938_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_23_0_S115941	fastp --thread 4 --in1 data_processed/fastq/S_23_0_S115941.fastq.gz --out1 data_processed/fastq_trimmed/S_23_0_S115941_trimmed.fastq.gz --html reports/QC_fastp/S_23_0_S115941_fastp.html --json reports/QC_fastp/S_23_0_S115941_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_24_0_S115940	fastp --thread 4 --in1 data_processed/fastq/S_24_0_S115940.fastq.gz --out1 data_processed/fastq_trimmed/S_24_0_S115940_trimmed.fastq.gz --html reports/QC_fastp/S_24_0_S115940_fastp.html --json reports/QC_fastp/S_24_0_S115940_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_25_0_S106457	fastp --thread 4 --in1 data_processed/fastq/S_25_0_S106457.fastq.gz --out1 data_processed/fastq_trimmed/S_25_0_S106457_trimmed.fastq.gz --html reports/QC_fastp/S_25_0_S106457_fastp.html --json reports/QC_fastp/S_25_0_S106457_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_25_0_S115943	fastp --thread 4 --in1 data_processed/fastq/S_25_0_S115943.fastq.gz --out1 data_processed/fastq_trimmed/S_25_0_S115943_trimmed.fastq.gz --html reports/QC_fastp/S_25_0_S115943_fastp.html --json reports/QC_fastp/S_25_0_S115943_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_26_0_S106460	fastp --thread 4 --in1 data_processed/fastq/S_26_0_S106460.fastq.gz --out1 data_processed/fastq_trimmed/S_26_0_S106460_trimmed.fastq.gz --html reports/QC_fastp/S_26_0_S106460_fastp.html --json reports/QC_fastp/S_26_0_S106460_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_26_0_S115942	fastp --thread 4 --in1 data_processed/fastq/S_26_0_S115942.fastq.gz --out1 data_processed/fastq_trimmed/S_26_0_S115942_trimmed.fastq.gz --html reports/QC_fastp/S_26_0_S115942_fastp.html --json reports/QC_fastp/S_26_0_S115942_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_27_0_S106459	fastp --thread 4 --in1 data_processed/fastq/S_27_0_S106459.fastq.gz --out1 data_processed/fastq_trimmed/S_27_0_S106459_trimmed.fastq.gz --html reports/QC_fastp/S_27_0_S106459_fastp.html --json reports/QC_fastp/S_27_0_S106459_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_27_0_S115945	fastp --thread 4 --in1 data_processed/fastq/S_27_0_S115945.fastq.gz --out1 data_processed/fastq_trimmed/S_27_0_S115945_trimmed.fastq.gz --html reports/QC_fastp/S_27_0_S115945_fastp.html --json reports/QC_fastp/S_27_0_S115945_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_28_0_S106462	fastp --thread 4 --in1 data_processed/fastq/S_28_0_S106462.fastq.gz --out1 data_processed/fastq_trimmed/S_28_0_S106462_trimmed.fastq.gz --html reports/QC_fastp/S_28_0_S106462_fastp.html --json reports/QC_fastp/S_28_0_S106462_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_28_0_S115944	fastp --thread 4 --in1 data_processed/fastq/S_28_0_S115944.fastq.gz --out1 data_processed/fastq_trimmed/S_28_0_S115944_trimmed.fastq.gz --html reports/QC_fastp/S_28_0_S115944_fastp.html --json reports/QC_fastp/S_28_0_S115944_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_29_0_S106461	fastp --thread 4 --in1 data_processed/fastq/S_29_0_S106461.fastq.gz --out1 data_processed/fastq_trimmed/S_29_0_S106461_trimmed.fastq.gz --html reports/QC_fastp/S_29_0_S106461_fastp.html --json reports/QC_fastp/S_29_0_S106461_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_29_0_S115947	fastp --thread 4 --in1 data_processed/fastq/S_29_0_S115947.fastq.gz --out1 data_processed/fastq_trimmed/S_29_0_S115947_trimmed.fastq.gz --html reports/QC_fastp/S_29_0_S115947_fastp.html --json reports/QC_fastp/S_29_0_S115947_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_2_0_S115918	fastp --thread 4 --in1 data_processed/fastq/S_2_0_S115918.fastq.gz --out1 data_processed/fastq_trimmed/S_2_0_S115918_trimmed.fastq.gz --html reports/QC_fastp/S_2_0_S115918_fastp.html --json reports/QC_fastp/S_2_0_S115918_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_30_0_S106464	fastp --thread 4 --in1 data_processed/fastq/S_30_0_S106464.fastq.gz --out1 data_processed/fastq_trimmed/S_30_0_S106464_trimmed.fastq.gz --html reports/QC_fastp/S_30_0_S106464_fastp.html --json reports/QC_fastp/S_30_0_S106464_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_30_0_S115946	fastp --thread 4 --in1 data_processed/fastq/S_30_0_S115946.fastq.gz --out1 data_processed/fastq_trimmed/S_30_0_S115946_trimmed.fastq.gz --html reports/QC_fastp/S_30_0_S115946_fastp.html --json reports/QC_fastp/S_30_0_S115946_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_31_0_S115949	fastp --thread 4 --in1 data_processed/fastq/S_31_0_S115949.fastq.gz --out1 data_processed/fastq_trimmed/S_31_0_S115949_trimmed.fastq.gz --html reports/QC_fastp/S_31_0_S115949_fastp.html --json reports/QC_fastp/S_31_0_S115949_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
