Sample	total_reads	Human counts	Human percentage	Mouse counts	Mouse percentage	Rat counts	Rat percentage	Drosophila counts	Drosophila percentage	Worm counts	Worm percentage	Yeast counts	Yeast percentage	Arabidopsis counts	Arabidopsis percentage	Ecoli counts	Ecoli percentage	rRNA counts	rRNA percentage	MT counts	MT percentage	PhiX counts	PhiX percentage	Lambda counts	Lambda percentage	Vectors counts	Vectors percentage	Adapters counts	Adapters percentage	No hits counts	No hits percentage
R10_S123915	100008	26909.0	26.9	96826.0	96.81	60140.0	60.129999999999995	669.0	0.6699999999999999	195.0	0.19	329.0	0.32	591.0	0.5900000000000001	0.0	0.0	9720.0	9.71	4291.0	4.29	8.0	0.01	0.0	0.0	16.0	0.02	6.0	0.0	2160	2.16
R11_S123918	99746	29204.0	29.28	95210.0	95.46	60247.0	60.400000000000006	870.0	0.87	223.0	0.23	402.0	0.4	752.0	0.75	0.0	0.0	13118.0	13.15	4311.0	4.32	10.0	0.01	0.0	0.0	19.0	0.02	4.0	0.0	3331	3.34
R12_S123917	99898	29055.0	29.09	95386.0	95.47	60751.0	60.82	845.0	0.84	193.0	0.2	397.0	0.4	745.0	0.74	0.0	0.0	12634.0	12.64	3575.0	3.58	13.0	0.01	0.0	0.0	18.0	0.02	6.0	0.0	3436	3.44
R13_S123920	99837	28020.0	28.060000000000002	96267.0	96.42	60220.0	60.31	869.0	0.87	223.0	0.22	390.0	0.39	749.0	0.75	0.0	0.0	12165.0	12.19	4739.0	4.75	6.0	0.01	0.0	0.0	16.0	0.02	4.0	0.0	2625	2.63
R14_S123919	99965	29252.0	29.259999999999998	95457.0	95.5	59991.0	60.010000000000005	803.0	0.8	236.0	0.24	262.0	0.27	686.0	0.68	0.0	0.0	14028.0	14.03	3882.0	3.89	9.0	0.01	0.0	0.0	24.0	0.03	7.0	0.01	3098	3.1
R15_S123922	100552	28708.0	28.54	96464.0	95.94	60604.0	60.269999999999996	769.0	0.77	258.0	0.25	366.0	0.37	642.0	0.63	0.0	0.0	11959.0	11.889999999999999	4858.0	4.83	11.0	0.01	0.0	0.0	18.0	0.02	8.0	0.0	2543	2.53
R16_S123921	100262	26511.0	26.439999999999998	96775.0	96.53	60040.0	59.89	700.0	0.69	228.0	0.23	338.0	0.33	590.0	0.5900000000000001	0.0	0.0	9535.0	9.51	4895.0	4.88	14.0	0.01	0.0	0.0	16.0	0.01	5.0	0.0	2376	2.37
R17_S123924	100079	26952.0	26.93	95542.0	95.47	59362.0	59.3	853.0	0.85	252.0	0.25	361.0	0.36	736.0	0.74	0.0	0.0	10866.0	10.85	4980.0	4.97	17.0	0.02	0.0	0.0	22.0	0.02	6.0	0.0	3372	3.37
R18_S123923	99949	27111.0	27.130000000000003	96499.0	96.54	59409.0	59.44	886.0	0.89	297.0	0.29000000000000004	347.0	0.34	764.0	0.76	0.0	0.0	11080.0	11.08	5195.0	5.19	13.0	0.01	0.0	0.0	24.0	0.02	4.0	0.0	2318	2.32
R19_S123890	100126	24880.0	24.84	96850.0	96.73	58497.0	58.42	613.0	0.61	219.0	0.22	279.0	0.28	529.0	0.53	0.0	0.0	7951.0	7.9399999999999995	4967.0	4.96	11.0	0.01	0.0	0.0	21.0	0.02	6.0	0.0	2403	2.4
R1_S123908	99804	26997.0	27.06	95575.0	95.75999999999999	59526.0	59.650000000000006	622.0	0.62	223.0	0.22	238.0	0.24000000000000002	526.0	0.53	0.0	0.0	10380.0	10.399999999999999	4069.0	4.07	7.0	0.01	0.0	0.0	20.0	0.02	6.0	0.0	2495	2.5
R20_S123889	100080	23833.0	23.810000000000002	96517.0	96.44	57478.0	57.44	581.0	0.58	252.0	0.25	229.0	0.23	477.0	0.48	0.0	0.0	7271.0	7.260000000000001	4553.0	4.55	13.0	0.01	0.0	0.0	18.0	0.02	9.0	0.01	2562	2.56
R21_S123892	100090	25454.0	25.43	97189.0	97.1	58887.0	58.82	617.0	0.6200000000000001	204.0	0.21	321.0	0.32	557.0	0.55	0.0	0.0	8945.0	8.93	4233.0	4.2299999999999995	8.0	0.01	0.0	0.0	17.0	0.02	5.0	0.0	2201	2.2
R22_S123891	100321	25927.0	25.84	96997.0	96.69	59184.0	58.99	693.0	0.69	225.0	0.22	291.0	0.29000000000000004	580.0	0.5800000000000001	0.0	0.0	10059.0	10.030000000000001	4574.0	4.56	26.0	0.03	0.0	0.0	16.0	0.02	4.0	0.0	2327	2.32
R23_S123894	99801	20795.0	20.84	95804.0	96.0	56166.0	56.28	375.0	0.37	213.0	0.22	150.0	0.15	284.0	0.29	1.0	0.0	2901.0	2.9000000000000004	4167.0	4.18	13.0	0.01	0.0	0.0	18.0	0.02	2.0	0.0	3133	3.14
R24_S123893	99905	22876.0	22.9	96687.0	96.78	57774.0	57.83	510.0	0.51	214.0	0.22	222.0	0.22	422.0	0.43	1.0	0.0	5499.0	5.5	4406.0	4.41	10.0	0.01	1.0	0.0	17.0	0.02	0.0	0.0	2407	2.41
R25_S123896	99963	25315.0	25.32	96720.0	96.77000000000001	59026.0	59.05	631.0	0.63	227.0	0.22	263.0	0.26	530.0	0.53	0.0	0.0	8379.0	8.379999999999999	4558.0	4.5600000000000005	14.0	0.01	0.0	0.0	18.0	0.02	1.0	0.0	2209	2.21
R26_S123895	100439	24629.0	24.520000000000003	97132.0	96.71000000000001	58896.0	58.64	588.0	0.58	209.0	0.21	215.0	0.21000000000000002	461.0	0.45999999999999996	0.0	0.0	7422.0	7.39	4623.0	4.6	20.0	0.02	0.0	0.0	20.0	0.02	5.0	0.0	2430	2.42
R27_S123898	100081	20258.0	20.25	95635.0	95.56	55995.0	55.940000000000005	324.0	0.32	200.0	0.2	120.0	0.12	250.0	0.25	0.0	0.0	2315.0	2.31	4879.0	4.87	15.0	0.01	0.0	0.0	24.0	0.02	5.0	0.0	3763	3.76
R28_S123897	100045	25766.0	25.75	96644.0	96.6	59085.0	59.059999999999995	723.0	0.72	218.0	0.22	279.0	0.27	619.0	0.62	0.0	0.0	9765.0	9.76	4217.0	4.21	19.0	0.02	0.0	0.0	18.0	0.02	2.0	0.0	2581	2.58
R29_S123900	99775	22250.0	22.299999999999997	96455.0	96.68	57426.0	57.55	441.0	0.43999999999999995	201.0	0.19999999999999998	152.0	0.15000000000000002	343.0	0.33999999999999997	0.0	0.0	5058.0	5.07	4307.0	4.32	12.0	0.01	0.0	0.0	16.0	0.02	3.0	0.0	2384	2.39
R2_S123907	100013	29265.0	29.26	96031.0	96.01	61006.0	60.99	861.0	0.86	219.0	0.21	382.0	0.38	778.0	0.77	0.0	0.0	13005.0	13.0	3831.0	3.83	9.0	0.01	0.0	0.0	17.0	0.02	6.0	0.0	2800	2.8
R30_S123899	100397	25363.0	25.27	97262.0	96.88	59102.0	58.87	619.0	0.62	210.0	0.19999999999999998	257.0	0.25	545.0	0.55	0.0	0.0	8638.0	8.61	4198.0	4.1899999999999995	11.0	0.01	0.0	0.0	25.0	0.02	7.0	0.0	2359	2.35
R31_S123902	100136	24537.0	24.49	96192.0	96.06	57579.0	57.49	559.0	0.55	247.0	0.24	223.0	0.22	478.0	0.47	0.0	0.0	8331.0	8.32	4899.0	4.89	14.0	0.01	0.0	0.0	23.0	0.02	6.0	0.0	3094	3.09
R32_S123901	99790	24655.0	24.7	96670.0	96.88	58761.0	58.89	575.0	0.57	240.0	0.24	252.0	0.26	463.0	0.45999999999999996	0.0	0.0	7857.0	7.87	4716.0	4.72	11.0	0.01	0.0	0.0	23.0	0.02	4.0	0.0	2165	2.17
R33_S123904	99790	23900.0	23.959999999999997	97220.0	97.43	58558.0	58.68	725.0	0.73	239.0	0.24	333.0	0.33	616.0	0.62	0.0	0.0	7155.0	7.17	5414.0	5.42	10.0	0.01	0.0	0.0	20.0	0.03	4.0	0.0	2165	2.17
R34_S123903	99794	23355.0	23.400000000000002	97338.0	97.53999999999999	58295.0	58.42	659.0	0.6699999999999999	222.0	0.22	248.0	0.25	601.0	0.6000000000000001	0.0	0.0	6950.0	6.97	4651.0	4.66	9.0	0.01	0.0	0.0	15.0	0.02	3.0	0.0	2035	2.04
R35_S123906	99675	22459.0	22.54	97017.0	97.33	58049.0	58.24	542.0	0.55	201.0	0.19999999999999998	197.0	0.2	445.0	0.43999999999999995	0.0	0.0	5072.0	5.09	3717.0	3.73	9.0	0.01	0.0	0.0	14.0	0.02	3.0	0.0	2242	2.25
R36_S123905	100338	24257.0	24.169999999999998	97299.0	96.97	58678.0	58.480000000000004	708.0	0.71	211.0	0.21000000000000002	356.0	0.36000000000000004	610.0	0.61	0.0	0.0	7707.0	7.68	4668.0	4.66	13.0	0.01	0.0	0.0	15.0	0.02	4.0	0.0	2608	2.6
R3_S123910	99839	26653.0	26.689999999999998	96126.0	96.28	59093.0	59.18	685.0	0.6799999999999999	218.0	0.22	285.0	0.29000000000000004	572.0	0.5700000000000001	0.0	0.0	10079.0	10.09	4500.0	4.5	13.0	0.01	0.0	0.0	17.0	0.02	5.0	0.0	2785	2.79
R4_S123909	99879	27902.0	27.94	96233.0	96.35000000000001	59748.0	59.82	814.0	0.8099999999999999	255.0	0.26	379.0	0.38	715.0	0.7200000000000001	0.0	0.0	11965.0	11.98	4359.0	4.36	12.0	0.01	0.0	0.0	25.0	0.02	6.0	0.0	2776	2.78
R5_S123912	100170	24553.0	24.51	95534.0	95.37	58101.0	58.010000000000005	743.0	0.74	243.0	0.25	406.0	0.4	663.0	0.66	0.0	0.0	8169.0	8.15	3888.0	3.8800000000000003	10.0	0.01	0.0	0.0	24.0	0.02	4.0	0.0	4237	4.23
R6_S123911	100294	28950.0	28.86	97058.0	96.77	61960.0	61.78	801.0	0.7999999999999999	230.0	0.22999999999999998	336.0	0.34	682.0	0.68	0.0	0.0	11933.0	11.899999999999999	3411.0	3.4	15.0	0.01	0.0	0.0	20.0	0.02	4.0	0.0	2096	2.09
R7_S123914	100069	27162.0	27.14	96436.0	96.37	60438.0	60.400000000000006	621.0	0.62	231.0	0.23	263.0	0.26	512.0	0.51	0.0	0.0	9715.0	9.71	3905.0	3.91	10.0	0.01	0.0	0.0	14.0	0.01	2.0	0.0	2331	2.33
R8_S123913	99992	27156.0	27.16	97055.0	97.07000000000001	60456.0	60.46	744.0	0.75	262.0	0.26	316.0	0.31	642.0	0.64	0.0	0.0	10335.0	10.340000000000002	4419.0	4.42	16.0	0.02	0.0	0.0	16.0	0.02	5.0	0.0	2119	2.12
R9_S123916	99930	26535.0	26.55	96594.0	96.66	59909.0	59.96	668.0	0.6599999999999999	227.0	0.23	296.0	0.30000000000000004	577.0	0.5800000000000001	0.0	0.0	9259.0	9.270000000000001	4262.0	4.26	14.0	0.01	0.0	0.0	27.0	0.03	6.0	0.0	2388	2.39
S_100_0_S106529	100819	12713.0	12.61	94896.0	94.11000000000001	35663.0	35.370000000000005	276.0	0.27	175.0	0.17	84.0	0.08	162.0	0.16	0.0	0.0	2559.0	2.54	5544.0	5.5	105.0	0.1	0.0	0.0	1.0	0.0	0.0	0.0	4708	4.67
S_101_0_S106532	99062	11145.0	11.25	93412.0	94.3	34120.0	34.44	289.0	0.29000000000000004	205.0	0.21000000000000002	87.0	0.09	183.0	0.19	0.0	0.0	1841.0	1.8599999999999999	5624.0	5.67	217.0	0.22	0.0	0.0	6.0	0.0	2.0	0.0	4636	4.68
S_102_0_S106531	99407	12428.0	12.49	93656.0	94.21000000000001	36006.0	36.22	222.0	0.22	145.0	0.14	80.0	0.09	150.0	0.15	0.0	0.0	2617.0	2.63	5432.0	5.46	172.0	0.17	0.0	0.0	1.0	0.0	2.0	0.0	4532	4.56
