Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
R10_S123915	R10_S123915.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13021043.0	0.0	120.0	43.0	22.244315380791566	120.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
R11_S123918	R11_S123918.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16838773.0	0.0	120.0	42.0	18.856267657844615	120.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
R12_S123917	R12_S123917.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10916521.0	0.0	120.0	42.0	22.6188820294361	120.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
R13_S123920	R13_S123920.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10294673.0	0.0	120.0	43.0	19.596839303823383	120.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
R14_S123919	R14_S123919.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10407023.0	0.0	120.0	43.0	21.355378863138572	120.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
R15_S123922	R15_S123922.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8893625.0	0.0	120.0	43.0	21.357582437474306	120.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
R16_S123921	R16_S123921.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11708151.0	0.0	120.0	42.0	24.190318824577027	120.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
R17_S123924	R17_S123924.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12672955.0	0.0	120.0	42.0	26.56210195201641	120.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
R18_S123923	R18_S123923.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12707245.0	0.0	120.0	43.0	22.370501252577892	120.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
R19_S123890	R19_S123890.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14454688.0	0.0	120.0	42.0	21.081052137302418	120.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
R1_S123908	R1_S123908.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15820483.0	0.0	120.0	43.0	19.053211206509317	120.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
R20_S123889	R20_S123889.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10753582.0	0.0	120.0	43.0	22.55793521299437	120.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
R21_S123892	R21_S123892.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13978933.0	0.0	120.0	42.0	22.157856577578627	120.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
R22_S123891	R22_S123891.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12100424.0	0.0	120.0	43.0	24.49359325079976	120.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
