Sample	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	Picard_mqc-generalstats-picard-PCT_RIBOSOMAL_BASES	Picard_mqc-generalstats-picard-PCT_MRNA_BASES	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
R10_S123915	0.78	12506627.0		86.58019999999999	0.910635	85.59828626504428	10957476	78.67	10071045.0	52.2911	0.889887	1385657481.0	0.430629	99.65382189429833	77.75568461920844	43.0	120.0	27.27272727272727	13021043.0
R11_S123918	0.59	15909592.0		85.7994	0.932722	83.67738928056183	13771772	77.65	12780130.0	53.8821	0.879334	1766055642.0	0.424539	99.39370285471513	81.14373234215539	42.0	120.0	27.27272727272727	16838773.0
R12_S123917	0.62	10320398.0		86.14150000000001	0.911485	84.05135246564564	8984339	77.83	8319354.0	51.8939	0.881776	1148295739.0	0.428897	99.4100135015542	77.3811179705639	42.0	120.0	27.27272727272727	10916521.0
R13_S123920	0.76	9816597.0		84.1191	0.917821	82.25830652497534	8294606	78.77	7942695.0	54.669900000000005	0.886298	1089771064.0	0.432723	99.53171897737792	80.40316069617661	43.0	120.0	27.27272727272727	10294673.0
R14_S123919	0.31	9860164.0		83.46000000000001	0.915518	81.21966157779656	8281510	78.07	7960279.0	47.638200000000005	0.870435	1079908037.0	0.439809	99.34425051237035	78.64462113686143	43.0	120.0	27.27272727272727	10407023.0
R15_S123922	0.72	8399983.0		84.0896	0.906444	81.9097300319572	7083148	78.65	6801273.0	50.8772	0.87995	933435880.0	0.436402	99.39547709735906	78.6424175625257	43.0	120.0	27.27272727272727	8893625.0
R16_S123921	0.7	11213974.0		84.9777	0.897792	83.5062256948037	9628434	78.32	9030946.0	50.881699999999995	0.88851	1242955308.0	0.425076	99.56893278878962	75.80968117542298	42.0	120.0	27.27272727272727	11708151.0
R17_S123924	0.68	11976116.0		83.646	0.894006	81.18469931264555	10074940	77.85	9660828.0	47.4624	0.879507	1328335629.0	0.42694	99.31372754026192	73.4378980479836	42.0	120.0	27.27272727272727	12672955.0
R18_S123923	0.75	12171970.0		81.8761	0.905383	80.13061321714447	10011264	78.7	9832772.0	50.4924	0.883342	1339573673.0	0.435605	99.45006962563482	77.6294987474221	43.0	120.0	27.27272727272727	12707245.0
R19_S123890	0.65	13870166.0		86.13929999999999	0.915595	84.54079736873256	12019959	79.24	11266859.0	54.56609999999999	0.889608	1536197087.0	0.427349	99.55386100343362	78.91894786269758	42.0	120.0	27.27272727272727	14454688.0
