Sample	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP	PF_NOT_ALIGNED_BASES
R10_S123915	1273597404.0	1233339899.0		321901687.0	745926992.0	67821137.0	97690083.0	0.0	0.0	0.0	8776135.0	37262.0	372669.0	99.5772	0.4228		26.1	60.480199999999996	5.499	7.9208	86.58019999999999	83.8435	0.0	1.596832	0.001808	3.218424	0.00018				40257505.0
R11_S123918	1610277774.0	1543428086.0		376161943.0	948090250.0	85027963.0	134147930.0	0.0	0.0	0.0	11165249.0	48771.0	475058.0	99.5651	0.43489999999999995		24.3718	61.427600000000005	5.509	8.6916	85.7994	82.2375	0.0	1.613564	0.002672	3.298221	0.000317				66849688.0
R12_S123917	1059306334.0	1013936252.0		252190806.0	621228876.0	53372732.0	87143838.0	0.0	0.0	0.0	7269575.0	29827.0	291782.0	99.5914	0.4086		24.8725	61.269	5.2639	8.5946	86.14150000000001	82.452	0.0	1.60582	0.001495	3.232888	2.7e-05				45370082.0
R13_S123920	1004807063.0	969860389.0		243677243.0	572160369.0	67034175.0	86988602.0	0.0	0.0	0.0	6741703.0	31976.0	280119.0	99.5279	0.4721		25.124999999999996	58.9941	6.9117	8.969199999999999	84.1191	81.1935	0.0	1.574195	2.9e-05	3.096021	0.0				34946674.0
R14_S123919	966675655.0	926489948.0		216241832.0	557006887.0	64278747.0	88962482.0	0.0	0.0	0.0	6726207.0	29237.0	313083.0	99.5672	0.4328		23.3399	60.1201	6.9379	9.6021	83.46000000000001	79.9905	0.0	1.928828	0.0	4.027205	0.0				40185707.0
R15_S123922	841441644.0	811998928.0		204352356.0	478454591.0	58024766.0	71167215.0	0.0	0.0	0.0	5770743.0	26592.0	242288.0	99.54129999999999	0.4587		25.1666	58.9231	7.145899999999999	8.7644	84.0896	81.1473	0.0	1.597033	0.000608	3.126958	0.0				29442716.0
R16_S123921	1147561007.0	1107475204.0		276033574.0	665073239.0	72366049.0	94002342.0	0.0	0.0	0.0	7754309.0	36618.0	331768.0	99.53	0.47000000000000003		24.924599999999998	60.0531	6.5343	8.488	84.9777	82.0093	0.0	1.584055	0.004589	3.196058	0.000659				40085803.0
R17_S123924	1217309049.0	1165114882.0		278027399.0	696544074.0	82054936.0	108488473.0	0.0	0.0	0.0	8176018.0	39234.0	348615.0	99.5224	0.47759999999999997		23.8627	59.7833	7.0426	9.3114	83.646	80.0595	0.0	1.668455	0.001011	3.318718	4e-05				52194167.0
R18_S123923	1224385006.0	1182629275.0		282067275.0	686223958.0	101198311.0	113139731.0	0.0	0.0	0.0	8130160.0	40614.0	355523.0	99.50290000000001	0.4971		23.8509	58.0253	8.5571	9.5668	81.8761	79.0839	0.0	1.71022	0.000203	3.466608	0.0				41755731.0
R19_S123890	1432206289.0	1385553253.0		365692419.0	827812778.0	86955519.0	105092537.0	0.0	0.0	0.0	9621018.0	43934.0	408474.0	99.5454	0.45459999999999995		26.3932	59.746	6.275899999999999	7.5849	86.13929999999999	83.3333	0.0	1.522841	0.0034	3.092066	0.000566				46653036.0
