Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
R10_S123915	Unknown Library	12506627.0	0.0	6032832.0	294419.0	11388974.0	0.0	0.0	0.910635	
R11_S123918	Unknown Library	15909592.0	0.0	7645952.0	548584.0	14839223.0	0.0	0.0	0.932722	
R12_S123917	Unknown Library	10320398.0	0.0	4868800.0	368709.0	9406888.0	0.0	0.0	0.911485	
R13_S123920	Unknown Library	9816597.0	0.0	4643842.0	267012.0	9009876.0	0.0	0.0	0.917821	
R14_S123919	Unknown Library	9860164.0	0.0	4887365.0	336271.0	9027161.0	0.0	0.0	0.915518	
R15_S123922	Unknown Library	8399983.0	0.0	4052096.0	247522.0	7614118.0	0.0	0.0	0.906444	
R16_S123921	Unknown Library	11213974.0	0.0	5551348.0	316225.0	10067816.0	0.0	0.0	0.897792	
R17_S123924	Unknown Library	11976116.0	0.0	6073044.0	433784.0	10706723.0	0.0	0.0	0.894006	
R18_S123923	Unknown Library	12171970.0	0.0	6136628.0	321712.0	11020290.0	0.0	0.0	0.905383	
R19_S123890	Unknown Library	13870166.0	0.0	6431858.0	347773.0	12699453.0	0.0	0.0	0.915595	
R1_S123908	Unknown Library	15070741.0	0.0	7335496.0	498741.0	13986462.0	0.0	0.0	0.928054	
R20_S123889	Unknown Library	10252900.0	0.0	4928759.0	255575.0	9315924.0	0.0	0.0	0.908614	
R21_S123892	Unknown Library	13430492.0	0.0	6229798.0	281972.0	12226700.0	0.0	0.0	0.910369	
R22_S123891	Unknown Library	11565385.0	0.0	5590002.0	272543.0	10373776.0	0.0	0.0	0.896968	
R23_S123894	Unknown Library	12074060.0	0.0	5811881.0	401141.0	11042290.0	0.0	0.0	0.914547	
R24_S123893	Unknown Library	21583522.0	0.0	10617125.0	595417.0	20126601.0	0.0	0.0	0.932498	
R25_S123896	Unknown Library	9738694.0	0.0	4745841.0	257648.0	8650877.0	0.0	0.0	0.888299	
R26_S123895	Unknown Library	9874417.0	0.0	4730786.0	269945.0	9016565.0	0.0	0.0	0.913124	
R27_S123898	Unknown Library	6846919.0	0.0	3453120.0	258851.0	6110038.0	0.0	0.0	0.892378	
