Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
R10_S123915	1.8.0	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	137979	66	65845	False	['range_factorized', 'gzipped']	[481, 747, 1390, 2761, 100404]	02484848b755c4d7954eee66af9e4d42fd62f6b45c15c571755fe8d1f81cec8e	32412628e031ad491c4a18ea3462a8c1233afb3e1494ee417fb9ee59e80e103d	f0d73041544aca1dd3723ec2119dfe4595777702601346f48e9228253750775f54e3dbdaebe7dab76acdafeae029eae75ab0ea8d99c42cf8445c291092c29d59	0494c37784822d23e42d7637fc814d46ce9d0ebf859e1161b5d89c3cb6168be5fe590b888fa03d7acce776bfb693a36625abb1cfb1ae6ce8525fdd7c5759bf42	d55503ff5a9e0c9d4f2f825c29ce19c9bf6acb05e7d822ff7bae54dd6caad682	8641407f8119410b42e2910715d64bfda0e25ff8d4f071264f69e895d7fafecd	0	12801046	10957476	909532	0	963272	7434506	85.59828626504428	quant	Wed Nov 16 15:22:28 2022	Wed Nov 16 15:27:15 2022
R11_S123918	1.8.0	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	137979	66	65179	False	['range_factorized', 'gzipped']	[481, 747, 1390, 2761, 100404]	02484848b755c4d7954eee66af9e4d42fd62f6b45c15c571755fe8d1f81cec8e	32412628e031ad491c4a18ea3462a8c1233afb3e1494ee417fb9ee59e80e103d	f0d73041544aca1dd3723ec2119dfe4595777702601346f48e9228253750775f54e3dbdaebe7dab76acdafeae029eae75ab0ea8d99c42cf8445c291092c29d59	0494c37784822d23e42d7637fc814d46ce9d0ebf859e1161b5d89c3cb6168be5fe590b888fa03d7acce776bfb693a36625abb1cfb1ae6ce8525fdd7c5759bf42	d55503ff5a9e0c9d4f2f825c29ce19c9bf6acb05e7d822ff7bae54dd6caad682	8641407f8119410b42e2910715d64bfda0e25ff8d4f071264f69e895d7fafecd	0	16458176	13771772	1245359	0	1317333	9118811	83.67738928056183	quant	Wed Nov 16 15:16:32 2022	Wed Nov 16 15:22:13 2022
R12_S123917	1.8.0	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	137979	66	60322	False	['range_factorized', 'gzipped']	[481, 747, 1390, 2761, 100404]	02484848b755c4d7954eee66af9e4d42fd62f6b45c15c571755fe8d1f81cec8e	32412628e031ad491c4a18ea3462a8c1233afb3e1494ee417fb9ee59e80e103d	f0d73041544aca1dd3723ec2119dfe4595777702601346f48e9228253750775f54e3dbdaebe7dab76acdafeae029eae75ab0ea8d99c42cf8445c291092c29d59	0494c37784822d23e42d7637fc814d46ce9d0ebf859e1161b5d89c3cb6168be5fe590b888fa03d7acce776bfb693a36625abb1cfb1ae6ce8525fdd7c5759bf42	d55503ff5a9e0c9d4f2f825c29ce19c9bf6acb05e7d822ff7bae54dd6caad682	8641407f8119410b42e2910715d64bfda0e25ff8d4f071264f69e895d7fafecd	0	10689107	8984339	800621	0	848543	5928374	84.05135246564564	quant	Wed Nov 16 14:51:37 2022	Wed Nov 16 14:57:09 2022
R13_S123920	1.8.0	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	137979	66	56929	False	['range_factorized', 'gzipped']	[481, 747, 1390, 2761, 100404]	02484848b755c4d7954eee66af9e4d42fd62f6b45c15c571755fe8d1f81cec8e	32412628e031ad491c4a18ea3462a8c1233afb3e1494ee417fb9ee59e80e103d	f0d73041544aca1dd3723ec2119dfe4595777702601346f48e9228253750775f54e3dbdaebe7dab76acdafeae029eae75ab0ea8d99c42cf8445c291092c29d59	0494c37784822d23e42d7637fc814d46ce9d0ebf859e1161b5d89c3cb6168be5fe590b888fa03d7acce776bfb693a36625abb1cfb1ae6ce8525fdd7c5759bf42	d55503ff5a9e0c9d4f2f825c29ce19c9bf6acb05e7d822ff7bae54dd6caad682	8641407f8119410b42e2910715d64bfda0e25ff8d4f071264f69e895d7fafecd	0	10083609	8294606	894347	0	938290	6238036	82.25830652497534	quant	Wed Nov 16 16:04:11 2022	Wed Nov 16 16:10:35 2022
R14_S123919	1.8.0	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	137979	66	53460	False	['range_factorized', 'gzipped']	[481, 747, 1390, 2761, 100404]	02484848b755c4d7954eee66af9e4d42fd62f6b45c15c571755fe8d1f81cec8e	32412628e031ad491c4a18ea3462a8c1233afb3e1494ee417fb9ee59e80e103d	f0d73041544aca1dd3723ec2119dfe4595777702601346f48e9228253750775f54e3dbdaebe7dab76acdafeae029eae75ab0ea8d99c42cf8445c291092c29d59	0494c37784822d23e42d7637fc814d46ce9d0ebf859e1161b5d89c3cb6168be5fe590b888fa03d7acce776bfb693a36625abb1cfb1ae6ce8525fdd7c5759bf42	d55503ff5a9e0c9d4f2f825c29ce19c9bf6acb05e7d822ff7bae54dd6caad682	8641407f8119410b42e2910715d64bfda0e25ff8d4f071264f69e895d7fafecd	0	10196435	8281510	911029	0	960077	6205274	81.21966157779656	quant	Wed Nov 16 15:40:02 2022	Wed Nov 16 15:44:39 2022
R15_S123922	1.8.0	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	137979	66	56482	False	['range_factorized', 'gzipped']	[481, 747, 1390, 2761, 100404]	02484848b755c4d7954eee66af9e4d42fd62f6b45c15c571755fe8d1f81cec8e	32412628e031ad491c4a18ea3462a8c1233afb3e1494ee417fb9ee59e80e103d	f0d73041544aca1dd3723ec2119dfe4595777702601346f48e9228253750775f54e3dbdaebe7dab76acdafeae029eae75ab0ea8d99c42cf8445c291092c29d59	0494c37784822d23e42d7637fc814d46ce9d0ebf859e1161b5d89c3cb6168be5fe590b888fa03d7acce776bfb693a36625abb1cfb1ae6ce8525fdd7c5759bf42	d55503ff5a9e0c9d4f2f825c29ce19c9bf6acb05e7d822ff7bae54dd6caad682	8641407f8119410b42e2910715d64bfda0e25ff8d4f071264f69e895d7fafecd	0	8647505	7083148	730691	0	767866	5270204	81.9097300319572	quant	Wed Nov 16 15:09:31 2022	Wed Nov 16 15:15:38 2022
R16_S123921	1.8.0	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	137979	66	66873	False	['range_factorized', 'gzipped']	[481, 747, 1390, 2761, 100404]	02484848b755c4d7954eee66af9e4d42fd62f6b45c15c571755fe8d1f81cec8e	32412628e031ad491c4a18ea3462a8c1233afb3e1494ee417fb9ee59e80e103d	f0d73041544aca1dd3723ec2119dfe4595777702601346f48e9228253750775f54e3dbdaebe7dab76acdafeae029eae75ab0ea8d99c42cf8445c291092c29d59	0494c37784822d23e42d7637fc814d46ce9d0ebf859e1161b5d89c3cb6168be5fe590b888fa03d7acce776bfb693a36625abb1cfb1ae6ce8525fdd7c5759bf42	d55503ff5a9e0c9d4f2f825c29ce19c9bf6acb05e7d822ff7bae54dd6caad682	8641407f8119410b42e2910715d64bfda0e25ff8d4f071264f69e895d7fafecd	0	11530199	9628434	932842	0	979632	6741733	83.5062256948037	quant	Wed Nov 16 15:45:05 2022	Wed Nov 16 15:50:13 2022
R17_S123924	1.8.0	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	137979	66	68002	False	['range_factorized', 'gzipped']	[481, 747, 1390, 2761, 100404]	02484848b755c4d7954eee66af9e4d42fd62f6b45c15c571755fe8d1f81cec8e	32412628e031ad491c4a18ea3462a8c1233afb3e1494ee417fb9ee59e80e103d	f0d73041544aca1dd3723ec2119dfe4595777702601346f48e9228253750775f54e3dbdaebe7dab76acdafeae029eae75ab0ea8d99c42cf8445c291092c29d59	0494c37784822d23e42d7637fc814d46ce9d0ebf859e1161b5d89c3cb6168be5fe590b888fa03d7acce776bfb693a36625abb1cfb1ae6ce8525fdd7c5759bf42	d55503ff5a9e0c9d4f2f825c29ce19c9bf6acb05e7d822ff7bae54dd6caad682	8641407f8119410b42e2910715d64bfda0e25ff8d4f071264f69e895d7fafecd	0	12409900	10074940	1098620	0	1152392	7583730	81.18469931264555	quant	Wed Nov 16 15:44:51 2022	Wed Nov 16 15:50:27 2022
R18_S123923	1.8.0	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	137979	66	64467	False	['range_factorized', 'gzipped']	[481, 747, 1390, 2761, 100404]	02484848b755c4d7954eee66af9e4d42fd62f6b45c15c571755fe8d1f81cec8e	32412628e031ad491c4a18ea3462a8c1233afb3e1494ee417fb9ee59e80e103d	f0d73041544aca1dd3723ec2119dfe4595777702601346f48e9228253750775f54e3dbdaebe7dab76acdafeae029eae75ab0ea8d99c42cf8445c291092c29d59	0494c37784822d23e42d7637fc814d46ce9d0ebf859e1161b5d89c3cb6168be5fe590b888fa03d7acce776bfb693a36625abb1cfb1ae6ce8525fdd7c5759bf42	d55503ff5a9e0c9d4f2f825c29ce19c9bf6acb05e7d822ff7bae54dd6caad682	8641407f8119410b42e2910715d64bfda0e25ff8d4f071264f69e895d7fafecd	0	12493682	10011264	1200948	0	1256242	8327162	80.13061321714447	quant	Wed Nov 16 15:34:30 2022	Wed Nov 16 15:39:52 2022
R19_S123890	1.8.0	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	137979	66	66681	False	['range_factorized', 'gzipped']	[481, 747, 1390, 2761, 100404]	02484848b755c4d7954eee66af9e4d42fd62f6b45c15c571755fe8d1f81cec8e	32412628e031ad491c4a18ea3462a8c1233afb3e1494ee417fb9ee59e80e103d	f0d73041544aca1dd3723ec2119dfe4595777702601346f48e9228253750775f54e3dbdaebe7dab76acdafeae029eae75ab0ea8d99c42cf8445c291092c29d59	0494c37784822d23e42d7637fc814d46ce9d0ebf859e1161b5d89c3cb6168be5fe590b888fa03d7acce776bfb693a36625abb1cfb1ae6ce8525fdd7c5759bf42	d55503ff5a9e0c9d4f2f825c29ce19c9bf6acb05e7d822ff7bae54dd6caad682	8641407f8119410b42e2910715d64bfda0e25ff8d4f071264f69e895d7fafecd	0	14217939	12019959	1088286	0	1146147	8800299	84.54079736873256	quant	Wed Nov 16 16:04:35 2022	Wed Nov 16 16:11:31 2022
