Module	Section	Sample Name	Source
QualiMap	rna_genome_results	S_9_0_S106452	/home/peter_r/bioinf_isilon/core_bioinformatics_unit/Internal/peter_repiscak/eva_konig/rna_seq/reports/QC_qualimap/S_9_0_S106452_qualimap/rnaseq_qc_results.txt
QualiMap	rna_genome_results	S_82_0_S106511	/home/peter_r/bioinf_isilon/core_bioinformatics_unit/Internal/peter_repiscak/eva_konig/rna_seq/reports/QC_qualimap/S_82_0_S106511_qualimap/rnaseq_qc_results.txt
QualiMap	rna_genome_results	S_43_0_S106474	/home/peter_r/bioinf_isilon/core_bioinformatics_unit/Internal/peter_repiscak/eva_konig/rna_seq/reports/QC_qualimap/S_43_0_S106474_qualimap/rnaseq_qc_results.txt
QualiMap	rna_genome_results	S_11_0_S115929	/home/peter_r/bioinf_isilon/core_bioinformatics_unit/Internal/peter_repiscak/eva_konig/rna_seq/reports/QC_qualimap/S_11_0_S115929_qualimap/rnaseq_qc_results.txt
QualiMap	rna_genome_results	S_10_0_S115926	/home/peter_r/bioinf_isilon/core_bioinformatics_unit/Internal/peter_repiscak/eva_konig/rna_seq/reports/QC_qualimap/S_10_0_S115926_qualimap/rnaseq_qc_results.txt
QualiMap	rna_genome_results	S_21_0_S106458	/home/peter_r/bioinf_isilon/core_bioinformatics_unit/Internal/peter_repiscak/eva_konig/rna_seq/reports/QC_qualimap/S_21_0_S106458_qualimap/rnaseq_qc_results.txt
QualiMap	rna_genome_results	S_32_0_S115948	/home/peter_r/bioinf_isilon/core_bioinformatics_unit/Internal/peter_repiscak/eva_konig/rna_seq/reports/QC_qualimap/S_32_0_S115948_qualimap/rnaseq_qc_results.txt
QualiMap	rna_genome_results	S_14_0_S115930	/home/peter_r/bioinf_isilon/core_bioinformatics_unit/Internal/peter_repiscak/eva_konig/rna_seq/reports/QC_qualimap/S_14_0_S115930_qualimap/rnaseq_qc_results.txt
QualiMap	rna_genome_results	S_9_0_S115927	/home/peter_r/bioinf_isilon/core_bioinformatics_unit/Internal/peter_repiscak/eva_konig/rna_seq/reports/QC_qualimap/S_9_0_S115927_qualimap/rnaseq_qc_results.txt
QualiMap	rna_genome_results	S_19_0_S115937	/home/peter_r/bioinf_isilon/core_bioinformatics_unit/Internal/peter_repiscak/eva_konig/rna_seq/reports/QC_qualimap/S_19_0_S115937_qualimap/rnaseq_qc_results.txt
QualiMap	rna_genome_results	S_6_0_S106447	/home/peter_r/bioinf_isilon/core_bioinformatics_unit/Internal/peter_repiscak/eva_konig/rna_seq/reports/QC_qualimap/S_6_0_S106447_qualimap/rnaseq_qc_results.txt
