Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
R10_S123915	12801046.0	99.0	10071045.0	78.67	99.89	2117565.0	2103885.0	2100632.0	14129.0	584.0	2220.0	0.42	0.0	1.32	0.0	1.15	2435582.0	19.03	46272.0	0.36	0.01	1.84	0.09	1279	235356	11512
R11_S123918	16458176.0	97.0	12780130.0	77.65	98.38	2451650.0	2434202.0	2431503.0	16193.0	790.0	3164.0	0.45	0.0	1.37	0.0	1.15	3129462.0	19.01	57070.0	0.35	0.01	2.88	0.1	1644	473432	16439
R12_S123917	10689107.0	99.0	8319354.0	77.83	99.55	1654664.0	1643006.0	1641200.0	11033.0	490.0	1941.0	0.45	0.0	1.33	0.0	1.15	2001044.0	18.72	36911.0	0.35	0.01	3.01	0.09	1067	321129	9602
R13_S123920	10083609.0	99.0	7942695.0	78.77	99.99	1573835.0	1562358.0	1561121.0	9925.0	471.0	2318.0	0.44	0.0	1.36	0.0	1.16	1873902.0	18.58	35323.0	0.35	0.01	2.16	0.13	1007	217586	13095
R14_S123919	10196435.0	94.0	7960279.0	78.07	95.12	1348744.0	1339497.0	1337549.0	9249.0	285.0	1661.0	0.48	0.0	1.4	0.0	1.19	1899885.0	18.63	37157.0	0.36	0.01	2.8	0.12	1021	285843	12250
R15_S123922	8647505.0	97.0	6801273.0	78.65	97.97	1329423.0	1319649.0	1318396.0	8898.0	358.0	1771.0	0.43	0.0	1.37	0.0	1.13	1598710.0	18.49	30971.0	0.36	0.01	2.35	0.15	863	202747	12941
R16_S123921	11530199.0	99.0	9030946.0	78.32	99.96	1781441.0	1769710.0	1767681.0	11219.0	556.0	1985.0	0.41	0.0	1.36	0.0	1.16	2183028.0	18.93	44537.0	0.39	0.01	2.23	0.12	1151	256722	13815
R17_S123924	12409900.0	98.0	9660828.0	77.85	98.45	1763420.0	1751007.0	1748750.0	11965.0	567.0	2138.0	0.44	0.0	1.35	0.0	1.15	2315288.0	18.66	51080.0	0.41	0.01	2.94	0.13	1243	365308	16153
R18_S123923	12493682.0	98.0	9832772.0	78.7	98.22	1770872.0	1758152.0	1755825.0	11985.0	677.0	2385.0	0.44	0.0	1.42	0.0	1.15	2339198.0	18.72	51487.0	0.41	0.01	2.0	0.16	1245	249055	19924
R19_S123890	14217939.0	100.0	11266859.0	79.24	101.1	2410132.0	2393575.0	2392496.0	14187.0	766.0	2683.0	0.39	0.0	1.32	0.0	1.13	2603307.0	18.31	44515.0	0.31	0.01	2.01	0.12	1417	284836	17005
