Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
R10_S123915	data_processed/star_aligned_dup_marked/R10_S123915_star_aligned_dupMarked.bam	12506627.0	18539459.0	8458879.0	8300676.0	321712.0	294419.0	0.78	8300676.0	762149.0	686465.0	893619.0
R11_S123918	data_processed/star_aligned_dup_marked/R11_S123918_star_aligned_dupMarked.bam	15909592.0	23555544.0	10762904.0	10468344.0	389258.0	548584.0	0.59	10468344.0	953799.0	968659.0	1082145.0
R12_S123917	data_processed/star_aligned_dup_marked/R12_S123917_star_aligned_dupMarked.bam	10320398.0	15189198.0	6862422.0	6838482.0	261769.0	368709.0	0.62	6838482.0	594795.0	624287.0	702362.0
R13_S123920	data_processed/star_aligned_dup_marked/R13_S123920_star_aligned_dupMarked.bam	9816597.0	14460439.0	6510744.0	6345079.0	242599.0	267012.0	0.76	6345079.0	725635.0	629315.0	664547.0
R14_S123919	data_processed/star_aligned_dup_marked/R14_S123919_star_aligned_dupMarked.bam	9860164.0	14747529.0	6780514.0	6306502.0	243619.0	336271.0	0.31	6306502.0	724986.0	685141.0	685293.0
R15_S123922	data_processed/star_aligned_dup_marked/R15_S123922_star_aligned_dupMarked.bam	8399983.0	12452079.0	5644769.0	5447106.0	201416.0	247522.0	0.72	5447106.0	638686.0	513989.0	566134.0
R16_S123921	data_processed/star_aligned_dup_marked/R16_S123921_star_aligned_dupMarked.bam	11213974.0	16765322.0	7725847.0	7314237.0	285709.0	316225.0	0.7	7314237.0	767454.0	663507.0	776940.0
R17_S123924	data_processed/star_aligned_dup_marked/R17_S123924_star_aligned_dupMarked.bam	11976116.0	18049160.0	8379560.0	7698986.0	292685.0	433784.0	0.68	7698986.0	877853.0	791243.0	827433.0
R18_S123923	data_processed/star_aligned_dup_marked/R18_S123923_star_aligned_dupMarked.bam	12171970.0	18308598.0	8467071.0	7634308.0	282864.0	321712.0	0.75	7634308.0	1087998.0	827507.0	825921.0
R19_S123890	data_processed/star_aligned_dup_marked/R19_S123890_star_aligned_dupMarked.bam	13870166.0	20302024.0	9025121.0	9208301.0	362807.0	347773.0	0.65	9208301.0	956867.0	738810.0	976840.0
