library_name	title	experiment	cell_line	time	time_point	treatment	processed_data_file 	raw_file_1	raw_file_2
S_4_0_S106446	Tumor_only, Cell_line_C, timepoint_1, EXP_9.4, rep_1	 EXP_9.4	C	Day 4	timepoint_1	Tumor_only	S_4_0_S106446_quant.sf	BSF_1117_HMV5NBBXY_7#S_4_0_S106446.bam	BSF_1117_HMV5NBBXY_8#S_4_0_S106446.bam
S_5_0_S106448	Tumor_only, Cell_line_C, timepoint_1, EXP_9.4, rep_2	 EXP_9.4	C	Day 4	timepoint_1	Tumor_only	S_5_0_S106448_quant.sf	BSF_1117_HMV5NBBXY_7#S_5_0_S106448.bam	BSF_1117_HMV5NBBXY_8#S_5_0_S106448.bam
S_6_0_S106447	Tumor_only, Cell_line_C, timepoint_1, EXP_9.4, rep_3	 EXP_9.4	C	Day 4	timepoint_1	Tumor_only	S_6_0_S106447_quant.sf	BSF_1117_HMV5NBBXY_7#S_6_0_S106447.bam	BSF_1117_HMV5NBBXY_8#S_6_0_S106447.bam
S_7_0_S106450	Tumor_only, Cell_line_D, timepoint_1, EXP_9.4, rep_1	 EXP_9.4	D	Day 4	timepoint_1	Tumor_only	S_7_0_S106450_quant.sf	BSF_1117_HMV5NBBXY_7#S_7_0_S106450.bam	BSF_1117_HMV5NBBXY_8#S_7_0_S106450.bam
S_8_0_S106449	Tumor_only, Cell_line_D, timepoint_1, EXP_9.4, rep_2	 EXP_9.4	D	Day 4	timepoint_1	Tumor_only	S_8_0_S106449_quant.sf	BSF_1117_HMV5NBBXY_7#S_8_0_S106449.bam	BSF_1117_HMV5NBBXY_8#S_8_0_S106449.bam
S_9_0_S106452	Tumor_only, Cell_line_D, timepoint_1, EXP_9.4, rep_3	 EXP_9.4	D	Day 4	timepoint_1	Tumor_only	S_9_0_S106452_quant.sf	BSF_1117_HMV5NBBXY_7#S_9_0_S106452.bam	BSF_1117_HMV5NBBXY_8#S_9_0_S106452.bam
S_16_0_S106451	Tumor_plus_NK, Cell_line_C, timepoint_2, EXP_9.4, rep_1	 EXP_9.4	C	Day 10	timepoint_2	Tumor_plus_NK	S_16_0_S106451_quant.sf	BSF_1117_HMV5NBBXY_7#S_16_0_S106451.bam	BSF_1117_HMV5NBBXY_8#S_16_0_S106451.bam
S_17_0_S106454	Tumor_plus_NK, Cell_line_C, timepoint_2, EXP_9.4, rep_2	 EXP_9.4	C	Day 10	timepoint_2	Tumor_plus_NK	S_17_0_S106454_quant.sf	BSF_1117_HMV5NBBXY_7#S_17_0_S106454.bam	BSF_1117_HMV5NBBXY_8#S_17_0_S106454.bam
S_18_0_S106453	Tumor_plus_NK, Cell_line_C, timepoint_2, EXP_9.4, rep_3	 EXP_9.4	C	Day 10	timepoint_2	Tumor_plus_NK	S_18_0_S106453_quant.sf	BSF_1117_HMV5NBBXY_7#S_18_0_S106453.bam	BSF_1117_HMV5NBBXY_8#S_18_0_S106453.bam
S_19_0_S106456	Tumor_plus_NK, Cell_line_D, timepoint_2, EXP_9.4, rep_1	 EXP_9.4	D	Day 10	timepoint_2	Tumor_plus_NK	S_19_0_S106456_quant.sf	BSF_1117_HMV5NBBXY_7#S_19_0_S106456.bam	BSF_1117_HMV5NBBXY_8#S_19_0_S106456.bam
