sample_name,experiment,ubam1_path,ubam2_path,original_sample_name
EK1_S115959,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#EK1_S115959.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#EK1_S115959.bam,EK1
EK10_S115966,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#EK10_S115966.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#EK10_S115966.bam,EK10
EK11_S115969,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#EK11_S115969.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#EK11_S115969.bam,EK11
EK12_S115968,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#EK12_S115968.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#EK12_S115968.bam,EK12
EK13_S115971,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#EK13_S115971.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#EK13_S115971.bam,EK13
EK14_S115970,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#EK14_S115970.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#EK14_S115970.bam,EK14
EK15_S115973,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#EK15_S115973.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#EK15_S115973.bam,EK15
EK16_S115972,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#EK16_S115972.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#EK16_S115972.bam,EK16
EK17_S115975,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#EK17_S115975.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#EK17_S115975.bam,EK17
EK18_S115974,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#EK18_S115974.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#EK18_S115974.bam,EK18
EK19_S115977,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#EK19_S115977.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#EK19_S115977.bam,EK19
