sample_name,experiment,ubam1_path,ubam2_path,original_sample_name
R1_S123908,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R1_S123908.bam,,R1
R10_S123915,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R10_S123915.bam,,R10
R11_S123918,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R11_S123918.bam,,R11
R12_S123917,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R12_S123917.bam,,R12
R13_S123920,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R13_S123920.bam,,R13
R14_S123919,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R14_S123919.bam,,R14
R15_S123922,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R15_S123922.bam,,R15
R16_S123921,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R16_S123921.bam,,R16
R17_S123924,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R17_S123924.bam,,R17
R18_S123923,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R18_S123923.bam,,R18
R19_S123890,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R19_S123890.bam,,R19
R2_S123907,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R2_S123907.bam,,R2
R20_S123889,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R20_S123889.bam,,R20
R21_S123892,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R21_S123892.bam,,R21
R22_S123891,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R22_S123891.bam,,R22
R23_S123894,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R23_S123894.bam,,R23
R24_S123893,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R24_S123893.bam,,R24
R25_S123896,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R25_S123896.bam,,R25
R26_S123895,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R26_S123895.bam,,R26
R27_S123898,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R27_S123898.bam,,R27
R28_S123897,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R28_S123897.bam,,R28
R29_S123900,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R29_S123900.bam,,R29
R3_S123910,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R3_S123910.bam,,R3
R30_S123899,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R30_S123899.bam,,R30
R31_S123902,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R31_S123902.bam,,R31
R32_S123901,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R32_S123901.bam,,R32
R33_S123904,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R33_S123904.bam,,R33
R34_S123903,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R34_S123903.bam,,R34
R35_S123906,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R35_S123906.bam,,R35
R36_S123905,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R36_S123905.bam,,R36
R4_S123909,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R4_S123909.bam,,R4
R5_S123912,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R5_S123912.bam,,R5
R6_S123911,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R6_S123911.bam,,R6
R7_S123914,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R7_S123914.bam,,R7
R8_S123913,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R8_S123913.bam,,R8
R9_S123916,BSF_1241,BSF_1241_HGM75DRX2_L1/BSF_1241_HGM75DRX2_1#R9_S123916.bam,,R9
