gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_line	p_adj	condition
B2M	1.39179306773697e-186	0.384985436365526	1	0.999	4.15130118313905e-182	697	3.08978061037606e-182	Expanded NK-treated
HLA-B	3.12311208748892e-152	0.497786444060423	1	0.991	9.31530642335321e-148	697	3.4666544171127e-148	Expanded NK-treated
HLA-A	2.08235084306022e-145	0.443240749389693	0.999	0.997	6.21102785959572e-141	697	1.54093962386456e-141	Expanded NK-treated
HLA-C	1.94364954096821e-116	0.436969989538009	0.987	0.949	5.79732348584589e-112	697	1.07872549523736e-112	Expanded NK-treated
GNLY	8.14389340347831e-116	0.449851107177374	0.318	0.037	2.42907908545548e-111	697	3.61588867114437e-112	Expanded NK-treated
CCL5	1.47728302030735e-82	0.310634317349814	0.24	0.019	4.40629206467073e-78	697	5.46594717513719e-79	Expanded NK-treated
RPS8	7.80437252954933e-67	-0.136015533013197	1	1	2.32781019438868e-62	697	2.4751010022285e-63	Expanded NK-treated
PSMB9	1.96360366332201e-54	0.259818330657506	0.946	0.857	5.85684064659057e-50	697	5.09098105689884e-51	Expanded NK-treated
PSME2	2.06391123928332e-54	0.230080502649981	0.996	0.984	6.15602805341034e-50	697	5.09098105689884e-51	Expanded NK-treated
IRF9	8.87852064434222e-50	0.0933307250273486	0.202	0.045	2.64819635258795e-45	697	1.97103158304397e-46	Expanded NK-treated
PSMB8	5.11939787761117e-45	0.222909164680629	0.988	0.963	1.52696280495508e-40	697	1.03318757166335e-41	Expanded NK-treated
HBG1	1.75216440349433e-41	-0.267388752392476	0.127	0.258	5.22618076630254e-37	697	3.24150414646451e-38	Expanded NK-treated
RPS15A	2.55243290793742e-41	-0.111234366216979	1	1	7.61314163450495e-37	697	4.35877004278545e-38	Expanded NK-treated
RPS29	2.0644348294172e-33	0.129780827378879	1	0.999	6.15758976570268e-29	697	3.27360380093299e-30	Expanded NK-treated
RPS26	7.94269860825531e-32	-0.116698779709909	1	1	2.36906871388431e-27	697	1.17551939402179e-28	Expanded NK-treated
HBG2	1.32631122228171e-31	-0.267637086690685	0.15	0.252	3.95598848269965e-27	697	1.84025682091587e-28	Expanded NK-treated
IGKC	1.49648388565025e-31	-0.0628233836801602	0.002	0.083	4.463562485729e-27	697	1.9542318977315e-28	Expanded NK-treated
HLA-E	4.37647085644165e-31	0.208600774921394	0.882	0.774	1.30536996235085e-26	697	5.39764738961137e-28	Expanded NK-treated
HLA-F	1.35255953430102e-30	0.117219126317423	0.35	0.186	4.03427932295967e-26	697	1.58035903481488e-27	Expanded NK-treated
RPL26	3.54110264992302e-30	-0.113738615023914	1	0.999	1.05620468739254e-25	697	3.93062394141455e-27	Expanded NK-treated
LYZ	6.47025639037876e-29	0.192180624086022	0.337	0.16	1.92988337355827e-24	697	6.83998532697183e-26	Expanded NK-treated
RPL21	1.66924076546273e-28	-0.0871908990120307	1	1	4.97884443114567e-24	697	1.68441568151239e-25	Expanded NK-treated
RPLP1	1.24560545094579e-27	-0.0810293892653773	1	1	3.71526737853602e-23	697	1.20228004395637e-24	Expanded NK-treated
RPL39	2.13220215295463e-27	-0.103332450375235	1	0.999	6.35971936161778e-23	697	1.97228699148303e-24	Expanded NK-treated
RPL34	8.45029032135786e-27	-0.104476731670257	1	1	2.52046809415141e-22	697	7.50385780536578e-24	Expanded NK-treated
GNAS	7.24785597605797e-26	0.20851997260265	0.999	0.999	2.16181800197881e-21	697	6.18855394878796e-23	Expanded NK-treated
RPS13	1.26753842010305e-25	-0.0873718367887104	1	1	3.78068684564137e-21	697	1.04219825652917e-22	Expanded NK-treated
RPL30	1.6095150702007e-23	-0.0861091727392056	1	1	4.80070059988762e-19	697	1.27611551994484e-20	Expanded NK-treated
RPS24	1.69455336308684e-22	-0.0801573494248702	1	1	5.05434431607913e-18	697	1.29720981588027e-19	Expanded NK-treated
PSME1	2.74820700522976e-21	0.133616516118329	0.995	0.993	8.19707703449882e-17	697	2.03367318387003e-18	Expanded NK-treated
TUBA1B	4.41334647705745e-21	0.219047702809775	1	0.999	1.31636885371193e-16	697	3.16052554163469e-18	Expanded NK-treated
CD81	4.91125132847701e-21	0.168491367597084	0.989	0.971	1.46487893374484e-16	697	3.40718060913092e-18	Expanded NK-treated
PLCG2	3.52959427777804e-20	0.14279017175126	0.698	0.567	1.05277208523286e-15	697	2.35426248377263e-17	Expanded NK-treated
TAP1	3.60562722739952e-20	0.110793276053705	0.572	0.424	1.07545043311645e-15	697	2.35426248377263e-17	Expanded NK-treated
RPS15	4.19394677023709e-20	-0.082355643098456	1	1	1.25092850315862e-15	697	2.6601605228361e-17	Expanded NK-treated
NKG7	4.51636529754186e-20	0.135488478216548	0.509	0.354	1.34709627729781e-15	697	2.78509193348415e-17	Expanded NK-treated
RPS12	8.13491835945541e-20	-0.0867093087703479	1	0.999	2.42640209907477e-15	697	4.88095101567325e-17	Expanded NK-treated
SNHG25	1.568402719826e-19	0.24479552930251	0.803	0.731	4.678074792425e-15	697	9.16277378424662e-17	Expanded NK-treated
SRGN	2.69249354128073e-19	0.145381751349884	0.385	0.223	8.03090048557804e-15	697	1.53265016965211e-16	Expanded NK-treated
UBE2S	8.21365376614426e-19	0.216568098692996	0.991	0.986	2.44988650882785e-14	697	4.55857784021006e-16	Expanded NK-treated
RPS18	3.36757419364062e-18	-0.0700542847024694	1	1	1.00444635473719e-13	697	1.82341822192248e-15	Expanded NK-treated
OAZ1	3.75224449152448e-18	0.10605947322307	1	0.998	1.11918196448701e-13	697	1.98332923123437e-15	Expanded NK-treated
GZMB	1.94009850233008e-17	0.0519017400470307	0.044	0.001	5.78673180289993e-13	697	1.00163225004018e-14	Expanded NK-treated
UBC	7.41542665636365e-17	0.148201902228236	0.985	0.959	2.21179930879359e-12	697	3.74141981298348e-14	Expanded NK-treated
MTCH1	9.7241904559192e-17	0.128919678017178	0.89	0.803	2.90043428728702e-12	697	4.7972672915868e-14	Expanded NK-treated
GAPDH	9.99558154883388e-17	0.0889754110870511	1	0.999	2.98138210857068e-12	697	4.82395457356765e-14	Expanded NK-treated
