gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_line	p_adj	condition
B2M	1.08962953839466e-235	0.648295610025605	1	1	3.25003802416977e-231	KASUMI2	2.42082994545143e-231	Expanded NK-treated
GNLY	7.37042850613379e-187	0.51419837647053	0.397	0.001	2.19837771052453e-182	KASUMI2	8.18744050603872e-183	Expanded NK-treated
HLA-A	1.0524575518228e-120	0.643836483674901	0.998	0.975	3.13916513982186e-116	KASUMI2	7.79414980961571e-117	Expanded NK-treated
HLA-C	3.2651602434993e-107	0.65111098791092	0.985	0.841	9.73899345828535e-103	KASUMI2	1.8135516282456e-103	Expanded NK-treated
HLA-B	3.23310873752755e-106	0.587740240031208	0.998	0.978	9.64339343142342e-102	KASUMI2	1.43659953643299e-102	Expanded NK-treated
STAT1	3.39423486833298e-101	0.538087852429865	0.645	0.218	1.01239843417768e-96	KASUMI2	1.25682860116256e-97	Expanded NK-treated
PSMB9	3.31805328446324e-93	0.574159164098009	0.975	0.813	9.89675753156851e-89	KASUMI2	1.05310271172743e-89	Expanded NK-treated
IRF9	4.76307360024901e-86	0.307845884392811	0.339	0.043	1.42068196274627e-81	KASUMI2	1.32276507720915e-82	Expanded NK-treated
CCL5	8.70338209550985e-76	0.315373259071741	0.306	0.046	2.59595777762772e-71	KASUMI2	2.14847822239936e-72	Expanded NK-treated
IRF1	6.71488645774587e-68	0.501188249143824	0.835	0.523	2.00284918375186e-63	KASUMI2	1.4918463243174e-64	Expanded NK-treated
HLA-E	1.28240284372045e-66	0.476987584228606	0.919	0.654	3.825022961965e-62	KASUMI2	2.59010399808521e-63	Expanded NK-treated
PSME2	2.50648118428531e-61	0.426797215314312	0.99	0.923	7.47608142836779e-57	KASUMI2	4.64054103927222e-58	Expanded NK-treated
TAP1	3.21943250388186e-55	0.356575406255283	0.59	0.248	9.60260132932841e-51	KASUMI2	5.50201014913409e-52	Expanded NK-treated
HLA-F	2.28533352948302e-53	0.351082968239838	0.577	0.231	6.81646431838902e-49	KASUMI2	3.62666107318031e-50	Expanded NK-treated
HBG1	3.56900311857926e-52	-0.687896352810268	0.388	0.562	1.06452656017864e-47	KASUMI2	5.28616948569836e-49	Expanded NK-treated
HBG2	3.23497637683008e-50	-0.803844352119792	0.416	0.6	9.64896403917109e-46	KASUMI2	4.49196688525212e-47	Expanded NK-treated
UBE2L6	3.27896160094148e-49	0.36336391659882	0.756	0.442	9.78015876712815e-45	KASUMI2	4.28521705224217e-46	Expanded NK-treated
GBP1	1.06715185812095e-36	0.311713892305136	0.555	0.267	3.18299384721737e-32	KASUMI2	1.31716182399296e-33	Expanded NK-treated
GBP4	1.62666693455522e-33	0.267652004831949	0.41	0.152	4.85185946569784e-29	KASUMI2	1.90208733079017e-30	Expanded NK-treated
GBP2	1.09877397320261e-32	0.190335131875789	0.19	0.038	3.27731312987141e-28	KASUMI2	1.22057306813211e-29	Expanded NK-treated
TMSB10	6.80697856897582e-31	0.210447125704663	1	1	2.03031749776842e-26	KASUMI2	7.2014591841398e-28	Expanded NK-treated
PSMB8	2.66321618036264e-26	0.262474799326618	0.938	0.787	7.94357490116764e-22	KASUMI2	2.68948517632349e-23	Expanded NK-treated
CCL4	3.10066244247727e-24	0.0567695227254346	0.054	0	9.24834586717697e-20	KASUMI2	2.99510510802251e-21	Expanded NK-treated
NKG7	3.70555498369613e-24	0.155197713908296	0.227	0.065	1.10525588498705e-19	KASUMI2	3.43026312803238e-21	Expanded NK-treated
RPS10	3.06830425212959e-23	0.179181966326441	0.999	0.999	9.15183109282692e-19	KASUMI2	2.72674062278252e-20	Expanded NK-treated
UBE2Q1	5.5412087249965e-22	0.172875109426151	0.408	0.181	1.65277632640471e-17	KASUMI2	4.73496285550951e-19	Expanded NK-treated
IFITM3	7.70403059707032e-22	0.277824504699971	0.792	0.594	2.29788120618816e-17	KASUMI2	6.33927584352264e-19	Expanded NK-treated
