gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_line	p_adj	condition
RPS29	2.22907163711578e-236	-0.32761258326768	1	1	6.64865197202525e-232	NALM6	5.15405943933911e-232	Expanded NK-treated
RPS10	7.92443890804889e-117	0.267231509198767	0.999	1	2.36362239310374e-112	NALM6	9.16144382159533e-113	Expanded NK-treated
PFDN2	1.53633176644659e-83	0.288186987846195	0.994	0.903	4.58241675978023e-79	NALM6	1.18410210345927e-79	Expanded NK-treated
PRTN3	5.22566077230926e-76	-0.319278478048967	0.356	0.464	1.55865783855668e-71	NALM6	3.02069320943337e-72	Expanded NK-treated
RPS27	9.14867639044949e-70	-0.196501202948625	1	1	2.72877570697937e-65	NALM6	4.23071390999946e-66	Expanded NK-treated
TMSB4X	5.61212783624791e-67	0.261393760973229	1	1	1.67392936971766e-62	NALM6	2.16272699716207e-63	Expanded NK-treated
GNLY	1.35749341037726e-56	0.39675874439593	0.275	0.001	4.04899559513225e-52	NALM6	4.48399466210614e-53	Expanded NK-treated
SNHG25	7.43391266311927e-53	-0.409839707061457	0.885	0.841	2.21731313002858e-48	NALM6	2.14858660745805e-49	Expanded NK-treated
HBG1	2.16023515087706e-47	-0.35021481994697	0.698	0.674	6.44333338452101e-43	NALM6	5.08660918176687e-44	Expanded NK-treated
MT-CYB	2.19990017375957e-47	-0.251677950633387	1	1	6.56164224827266e-43	NALM6	5.08660918176687e-44	Expanded NK-treated
HBG2	1.2232452454268e-45	-0.36805561560291	0.777	0.731	3.64857359353453e-41	NALM6	2.57126150588714e-42	Expanded NK-treated
MT-ND3	9.37992585197605e-45	-0.232553913145829	1	1	2.7977504838689e-40	NALM6	1.80735537957825e-41	Expanded NK-treated
H3F3B	1.5574428061664e-42	0.170019486139001	0.999	0.998	4.64538465795254e-38	NALM6	2.77009173570612e-39	Expanded NK-treated
MT-CO2	2.29147880023053e-37	-0.154044252813065	1	1	6.83479381744762e-33	NALM6	3.78454091563789e-34	Expanded NK-treated
RPL24	5.37082392082983e-37	0.110614728038887	1	1	1.60195565086591e-32	NALM6	8.27894604649515e-34	Expanded NK-treated
TXN	1.63317098253284e-36	0.156085615107339	0.999	0.988	4.8712590896007e-32	NALM6	2.36013621613277e-33	Expanded NK-treated
MSN	3.31227045333234e-36	0.178338477267735	0.93	0.698	9.87950908115437e-32	NALM6	4.50507749540884e-33	Expanded NK-treated
DYNC1H1	1.46997454126963e-35	0.203962070847891	0.968	0.855	4.38449306424493e-31	NALM6	1.88826396351314e-32	Expanded NK-treated
RPS21	4.87303929124351e-35	-0.144746320693469	1	1	1.4534814293992e-30	NALM6	5.93023234169118e-32	Expanded NK-treated
UBE2Q1	1.40606259733878e-34	0.14217175604523	0.673	0.352	4.19386290908238e-30	NALM6	1.62554896878336e-31	Expanded NK-treated
MPO	2.60067046960223e-34	-0.118554133004373	0.084	0.166	7.75701980968257e-30	NALM6	2.86346202848299e-31	Expanded NK-treated
SPCS2	1.0962144265741e-33	0.151731205986979	0.988	0.915	3.26967877014257e-29	NALM6	1.15212136232938e-30	Expanded NK-treated
RPS28	6.3193910976094e-31	-0.138399698654687	1	1	1.88488478268396e-26	NALM6	6.3529113460402e-28	Expanded NK-treated
RPL4	3.32912279250484e-30	0.1020435319817	1	1	9.92977455320418e-26	NALM6	3.20733238367903e-27	Expanded NK-treated
RPL36AL	7.66954215734229e-29	0.116287711852713	0.999	0.997	2.28759433927048e-24	NALM6	7.09340615048274e-26	Expanded NK-treated
TOP1	1.03539077605785e-28	0.133207871221636	0.998	0.972	3.08826006774775e-24	NALM6	9.20780981692678e-26	Expanded NK-treated
EIF3A	1.28959856045697e-28	0.161165546309496	0.995	0.966	3.84648562627499e-24	NALM6	1.10437399684763e-25	Expanded NK-treated
AC103591.3	4.44788131237295e-28	-0.206291451771211	0.254	0.288	1.32666955904148e-23	NALM6	3.67299684659598e-25	Expanded NK-treated
CCL5	5.556500940954e-28	0.219399131533228	0.164	0.01	1.65733753565835e-23	NALM6	4.43025568126684e-25	Expanded NK-treated
RPL17	8.46939487308127e-28	0.0911821371073263	1	1	2.52616640879395e-23	NALM6	6.52764494184617e-25	Expanded NK-treated
TOMM6	1.48622631183693e-27	0.120419442714993	0.999	0.976	4.432967220316e-23	NALM6	1.10853305749334e-24	Expanded NK-treated
EPRS	2.89432489397031e-27	0.143303471404665	0.991	0.902	8.63290286124524e-23	NALM6	2.09133063119942e-24	Expanded NK-treated
B2M	4.75367843667482e-27	0.115640349959405	1	1	1.417879667307e-22	NALM6	3.33074402463016e-24	Expanded NK-treated
MT-ND5	7.18731696266688e-27	-0.204874520917162	1	1	2.14376103045465e-22	NALM6	4.88779831796422e-24	Expanded NK-treated
RPL14	8.83695521139256e-27	0.088622622841128	1	1	2.63579863090206e-22	NALM6	5.83794509708054e-24	Expanded NK-treated
NOL7	2.95654609845383e-26	0.136215403719001	0.997	0.958	8.81849004785823e-22	NALM6	1.89892385801248e-23	Expanded NK-treated
TRBC1	3.0684280616898e-26	-0.119668637706639	0.115	0.175	9.15220037960217e-22	NALM6	1.91751874709166e-23	Expanded NK-treated
HSPA4	5.38020725765322e-26	0.133056235537564	0.947	0.758	1.60475441874023e-21	NALM6	3.27371453188047e-23	Expanded NK-treated
RPL26	1.19367937250256e-25	0.0929071254549934	1	1	3.56038746436338e-21	NALM6	7.07698832077031e-23	Expanded NK-treated
SELENOH	1.41170821361909e-25	0.116024293252182	0.999	0.972	4.21070208876166e-21	NALM6	8.16037932882515e-23	Expanded NK-treated
PARP1	1.57884548913862e-25	0.107675170609716	1	0.995	4.70922244045377e-21	NALM6	8.90391839021055e-23	Expanded NK-treated
RPL30	1.78712962517715e-25	0.0856213377627517	1	1	5.33047153301588e-21	NALM6	9.83857409365381e-23	Expanded NK-treated
BZW1	4.92562926546903e-25	0.142753768430812	0.982	0.902	1.46916744101145e-20	NALM6	2.64861395060872e-22	Expanded NK-treated
PIK3R1	6.07187306339873e-25	0.149483467724451	0.947	0.788	1.81105757861994e-20	NALM6	3.19076929481603e-22	Expanded NK-treated
DAAM1	6.72095806029733e-25	0.158085032267876	0.86	0.63	2.00466016064488e-20	NALM6	3.45337760600433e-22	Expanded NK-treated
PSMA3	7.00498134378569e-25	0.124065817375887	0.988	0.92	2.08937578541096e-20	NALM6	3.45778389675495e-22	Expanded NK-treated
CDV3	7.02862395759374e-25	0.144938514300725	0.983	0.884	2.09642766783149e-20	NALM6	3.45778389675495e-22	Expanded NK-treated
EIF4G1	9.23823844325658e-25	0.140644009360021	0.91	0.727	2.75548938047014e-20	NALM6	4.45013644343705e-22	Expanded NK-treated
PRDX6	1.9288070894161e-24	0.104913220759165	0.997	0.952	5.75305290560141e-20	NALM6	9.10160765744472e-22	Expanded NK-treated
MYH9	3.45845558975272e-24	0.14093520190548	0.827	0.567	1.03155354875554e-19	NALM6	1.59932820292525e-21	Expanded NK-treated
STRAP	4.46729428060405e-24	0.113560631500089	0.95	0.775	1.33245986507577e-19	NALM6	2.02534859521818e-21	Expanded NK-treated
MRPL51	6.4740162408279e-24	0.106415141465205	0.999	0.973	1.93100482415174e-19	NALM6	2.87869622154659e-21	Expanded NK-treated
SEC61B	8.03130650026295e-24	0.10969075918673	0.998	0.986	2.39549778983343e-19	NALM6	3.50377111130339e-21	Expanded NK-treated
COX7A2L	1.15969847176138e-23	0.111959583440636	0.963	0.805	3.45903263172266e-19	NALM6	4.96565704890121e-21	Expanded NK-treated
APOBEC3G	1.94621323324807e-23	0.143941086834991	0.924	0.735	5.80497021080903e-19	NALM6	8.1818804325749e-21	Expanded NK-treated
CLTC	2.51017225115134e-23	0.126534757298447	0.991	0.933	7.48709077350911e-19	NALM6	1.0364321926986e-20	Expanded NK-treated
MT-ATP6	5.71167532710921e-23	-0.117987011689218	1	1	1.70362139981686e-18	NALM6	2.31693608620033e-20	Expanded NK-treated
PTMA	6.5825527538296e-23	0.0985714271385518	1	1	1.96337800988475e-18	NALM6	2.62416870300083e-20	Expanded NK-treated
PRPF40A	1.38294874204703e-22	0.106751758125548	0.997	0.954	4.12492121290369e-18	NALM6	5.41975268027314e-20	Expanded NK-treated
RPL37A	1.73808842253706e-22	-0.103319400527443	1	1	5.18419633790128e-18	NALM6	6.6980134176503e-20	Expanded NK-treated
MBD2	1.94336320190289e-22	0.109626008288332	0.94	0.752	5.79646942231576e-18	NALM6	7.36630228760634e-20	Expanded NK-treated
C12orf75	2.31827299989963e-22	0.223666682471351	0.936	0.786	6.91471287680063e-18	NALM6	8.64566262962568e-20	Expanded NK-treated
RPS23	2.59823101292173e-22	0.0756416564967362	1	1	7.74974364224164e-18	NALM6	9.53592023504384e-20	Expanded NK-treated
WIPF1	2.71260519337332e-22	0.139213152879637	0.911	0.725	8.0908875102746e-18	NALM6	9.80013395018405e-20	Expanded NK-treated
SPTBN1	4.08911686169708e-22	0.165579050072217	0.97	0.857	1.21966088633839e-17	NALM6	1.45459323194092e-19	Expanded NK-treated
RPL37	5.72622861436229e-22	-0.105810681581946	1	1	1.70796220880584e-17	NALM6	2.00608875789826e-19	Expanded NK-treated
EIF3I	8.32813453862208e-22	0.104343244926372	0.989	0.914	2.48403268883481e-17	NALM6	2.87407651943313e-19	Expanded NK-treated
LSM3	1.11405465746749e-21	0.106568380549043	0.991	0.958	3.32289082682829e-17	NALM6	3.78811349852403e-19	Expanded NK-treated
HSP90AA1	2.7970875383275e-21	0.166801164131837	1	1	8.34287300056943e-17	NALM6	9.36192287853667e-19	Expanded NK-treated
IER3IP1	2.83424704393031e-21	0.0963792639939167	0.93	0.708	8.45370865793094e-17	NALM6	9.36192287853667e-19	Expanded NK-treated
REEP5	2.90558954420036e-21	0.11173571539751	0.895	0.681	8.66650193348642e-17	NALM6	9.46240020295786e-19	Expanded NK-treated
