gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_line	p_adj	condition
HLA-B	0	1.04129159070844	0.999	0.977	0	RCHACV	0	Expanded NK-treated
B2M	0	0.971284194284724	1	0.999	0	RCHACV	0	Expanded NK-treated
HLA-A	3.16930177632563e-308	0.953299771778142	0.999	0.982	9.45307640824645e-304	RCHACV	2.47490775713268e-304	Expanded NK-treated
PSMB9	4.87258508580173e-254	0.842712255202448	0.988	0.8	1.45334595354208e-249	RCHACV	2.85375127012693e-250	Expanded NK-treated
HLA-C	4.20851317126779e-223	0.812610367829805	0.98	0.766	1.25527322359404e-218	RCHACV	1.97185676126581e-219	Expanded NK-treated
GNLY	7.59727099137363e-135	0.696803266096499	0.408	0	2.26603801859701e-130	RCHACV	2.96635445858184e-131	Expanded NK-treated
PSME2	1.41640939025515e-134	0.539965772839164	0.992	0.954	4.22472428831404e-130	RCHACV	4.74031754078677e-131	Expanded NK-treated
UBE2L6	1.33961563567181e-102	0.441994004484091	0.773	0.392	3.9956715565183e-98	RCHACV	3.92289693711042e-99	Expanded NK-treated
IRF9	1.8682437991384e-99	0.286204609717661	0.363	0.047	5.5724107796901e-95	RCHACV	4.86303860915725e-96	Expanded NK-treated
IRF1	4.86296370834459e-98	0.529627135125357	0.888	0.584	1.45047618528794e-93	RCHACV	1.13924650795389e-94	Expanded NK-treated
HLA-E	1.40675430637534e-95	0.471482600705314	0.887	0.569	4.19592606962573e-91	RCHACV	2.9960030123141e-92	Expanded NK-treated
TAP1	1.28365787603878e-92	0.373805034376503	0.59	0.2	3.82876634686088e-88	RCHACV	2.50602108849672e-89	Expanded NK-treated
STAT1	3.90815274900406e-87	0.398902444378064	0.636	0.261	1.16568472044544e-82	RCHACV	7.04279188083986e-84	Expanded NK-treated
CCL5	4.78357362256968e-85	0.465175937261486	0.342	0.035	1.42679650440386e-80	RCHACV	8.00462708971e-82	Expanded NK-treated
PSMB8	1.6215262825583e-80	0.427916655313271	0.959	0.805	4.83652644298663e-76	RCHACV	2.53249974809955e-77	Expanded NK-treated
HLA-F	2.64135666842948e-75	0.308727567163922	0.424	0.108	7.87837453492462e-71	RCHACV	3.8674414169561e-72	Expanded NK-treated
PSME1	2.23412451776799e-69	0.320868406490716	0.996	0.972	6.66372319914659e-65	RCHACV	3.07875500457357e-66	Expanded NK-treated
HBG2	4.09090338853889e-65	-0.594106081081481	0.543	0.673	1.2201937536995e-60	RCHACV	5.32431076018337e-62	Expanded NK-treated
HBG1	1.80177777920634e-60	-0.50024318462928	0.501	0.625	5.37416258203876e-56	RCHACV	2.22159200176142e-57	Expanded NK-treated
GBP1	1.73272761247288e-58	0.223914966602566	0.298	0.061	5.16820664972285e-54	RCHACV	2.0296304888701e-55	Expanded NK-treated
HLA-DPA1	4.12796246107901e-53	0.428187074107113	0.82	0.536	1.23124736326604e-48	RCHACV	4.60503697979514e-50	Expanded NK-treated
PLAAT4	7.72666007256914e-51	0.220187424632994	0.361	0.105	2.3046308998452e-46	RCHACV	8.22783934182169e-48	Expanded NK-treated
PSMB10	5.72937039721251e-48	0.291874890377212	0.922	0.737	1.70889930837657e-43	RCHACV	5.83573740415206e-45	Expanded NK-treated
BST2	2.71710023033244e-46	0.30302740701382	0.784	0.491	8.10429485701256e-42	RCHACV	2.65222946233325e-43	Expanded NK-treated
CD74	9.82316601967296e-43	0.341730800206074	0.994	0.964	2.92995572868785e-38	RCHACV	9.20509241371514e-40	Expanded NK-treated
HCP5	4.45125329469598e-42	0.184834185057516	0.314	0.086	1.32767532020897e-37	RCHACV	4.01075042057087e-39	Expanded NK-treated
LGALS3BP	7.16751004295558e-41	0.228594131404815	0.555	0.268	2.13785322051236e-36	RCHACV	6.21900954727113e-38	Expanded NK-treated
PRTN3	1.34442568208003e-35	-0.288039705669498	0.366	0.46	4.01001848194011e-31	RCHACV	1.1248521590746e-32	Expanded NK-treated
NKG7	1.69141206495205e-32	0.211525123905039	0.328	0.115	5.04497476613247e-28	RCHACV	1.36636932571144e-29	Expanded NK-treated
LGALS9	1.11449987607512e-31	0.211350061331986	0.649	0.358	3.32421878036926e-27	RCHACV	8.7031295322706e-29	Expanded NK-treated
TRIM69	1.26957190966876e-31	0.12490619010534	0.237	0.063	3.786752134969e-27	RCHACV	9.59427778316451e-29	Expanded NK-treated
IFITM3	2.87917724244594e-31	0.253712099685244	0.537	0.277	8.58772196104351e-27	RCHACV	2.10782766433691e-28	Expanded NK-treated
RPS29	1.01460882588592e-30	-0.129015793682781	0.999	1	3.02627374496994e-26	RCHACV	7.20280029213015e-28	Expanded NK-treated
RPS8	5.1851146836507e-28	-0.118784158826299	1	1	1.54656415669249e-23	RCHACV	3.57269652040838e-25	Expanded NK-treated
HLA-DPB1	2.19786095381377e-25	0.23392685481476	0.841	0.617	6.55555986694034e-21	RCHACV	1.47112253042844e-22	Expanded NK-treated
HLA-DRA	4.22000275907464e-25	0.336257004724829	0.965	0.869	1.25870022294919e-20	RCHACV	2.74616679546782e-22	Expanded NK-treated
PSMA5	5.07293678747416e-24	0.177939750142199	0.95	0.842	1.51310485559992e-19	RCHACV	3.21199162486911e-21	Expanded NK-treated
MTRNR2L12	8.56463120514121e-24	0.223737903722618	0.985	0.907	2.55457254955747e-19	RCHACV	5.28009513796956e-21	Expanded NK-treated
LAP3	1.47893649354342e-23	0.18785393697373	0.861	0.669	4.41122387929196e-19	RCHACV	8.88385775236968e-21	Expanded NK-treated
PARP14	2.00052423954957e-23	0.178247193152368	0.801	0.561	5.96696364930449e-19	RCHACV	1.17165703399819e-20	Expanded NK-treated
RPS15	2.05153213066771e-23	-0.12463750621162	1	1	6.11910488614259e-19	RCHACV	1.17222544451592e-20	Expanded NK-treated
APOBEC3G	3.69212921906729e-23	0.146808858379104	0.392	0.173	1.1012513821712e-18	RCHACV	2.05941693369261e-20	Expanded NK-treated
GBP4	9.05250315591923e-23	0.126495650771837	0.204	0.063	2.70009011631603e-18	RCHACV	4.93193003334232e-20	Expanded NK-treated
RPS10	1.07960519162029e-22	0.152113382755553	0.997	0.992	3.22013840504584e-18	RCHACV	5.74816155092922e-20	Expanded NK-treated
BTN3A2	5.0456490741266e-22	0.121002637018882	0.345	0.135	1.50496574933974e-17	RCHACV	2.62676490799031e-19	Expanded NK-treated
PSMB4	8.42549411378246e-22	0.157221671305574	0.944	0.817	2.51307212931789e-17	RCHACV	4.29095762181699e-19	Expanded NK-treated
HLA-DRB1	1.9851364190361e-21	0.168469133392003	0.386	0.19	5.92106639705897e-17	RCHACV	9.8948491252678e-19	Expanded NK-treated
PSMB8-AS1	6.24617383825605e-21	0.139970239786607	0.432	0.208	1.86304627073663e-16	RCHACV	3.04852321893384e-18	Expanded NK-treated
VAMP5	1.54696762238501e-20	0.179702013418526	0.88	0.697	4.61414032728777e-16	RCHACV	7.39608377339053e-18	Expanded NK-treated
PSMA2	1.58409130753079e-20	0.146626040079898	0.989	0.965	4.7248691429721e-16	RCHACV	7.42210141230479e-18	Expanded NK-treated
PFDN2	3.09803504078072e-20	0.193685787399075	0.961	0.896	9.24050911613666e-16	RCHACV	1.42309150785039e-17	Expanded NK-treated
APOE	3.65755131471072e-20	-0.214321945153081	0.251	0.293	1.09093783063877e-15	RCHACV	1.64779720480246e-17	Expanded NK-treated
NLRC5	1.20914321546864e-19	0.131987344634386	0.444	0.215	3.60651146877831e-15	RCHACV	5.34464115260072e-17	Expanded NK-treated
TAPBP	2.67734722346054e-19	0.156905343163897	0.767	0.554	7.98572356341575e-15	RCHACV	1.16152247044463e-16	Expanded NK-treated
RPL13A	5.10989233596673e-19	0.0995329653943813	1	1	1.5241275870488e-14	RCHACV	2.17653541372168e-16	Expanded NK-treated
MT2A	7.58537484377984e-19	0.222312530509449	0.705	0.508	2.26248975465421e-14	RCHACV	3.17326029402197e-16	Expanded NK-treated
IFI6	1.2675562789448e-18	0.105639370865628	0.298	0.11	3.78074011320866e-14	RCHACV	5.20965630646313e-16	Expanded NK-treated
UBE2Q1	4.06065647316817e-17	0.12287551791358	0.536	0.297	1.21117200625187e-12	RCHACV	1.64015515856743e-14	Expanded NK-treated
NEXN	4.47135873963474e-17	0.107830385662241	0.355	0.158	1.33367217127085e-12	RCHACV	1.77543256260039e-14	Expanded NK-treated
HLA-DMA	6.28823764000857e-17	0.152926205204642	0.415	0.222	1.87559264088536e-12	RCHACV	2.45524238654135e-14	Expanded NK-treated
GZMB	6.88507749712216e-17	0.0759374294068965	0.055	0	2.05361206506663e-12	RCHACV	2.64420836926362e-14	Expanded NK-treated
IFI35	4.12048181183441e-16	0.0862295123474322	0.212	0.075	1.22901611001585e-11	RCHACV	1.55694399041685e-13	Expanded NK-treated
ERAP2	6.95995909496434e-16	0.11586659314157	0.484	0.254	2.07594699925501e-11	RCHACV	2.58811050345602e-13	Expanded NK-treated
NCF1	9.64562290677599e-16	0.0826968956650033	0.191	0.065	2.87699994440407e-11	RCHACV	3.53075012245377e-13	Expanded NK-treated
ADAR	4.31995359573395e-15	0.126453149027608	0.86	0.689	1.28851255899956e-10	RCHACV	1.55697773672706e-12	Expanded NK-treated
ECHS1	4.75160862510836e-15	0.127207542623874	0.896	0.75	1.41726230461107e-10	RCHACV	1.68660507970324e-12	Expanded NK-treated
