Mouse_.Hum_homlg_gene	Mouse_.log2FoldChange	Mouse_.padj	Mouse_.mgi_symbol	E697_.avg_log2FC	E697_.p_adj	E697_.gene
AHNAK	1.76619743911823	2.22094939799426e-15	Ahnak	0.0138129239928145	0.0363852998206087	AHNAK
ANXA2	4.50733740864358	1.27958816528615e-07	Anxa2	0.0762841944037611	1.81759602479131e-06	ANXA2
B2M	0.592936404241214	3.63035011858385e-15	B2m	0.384985436365526	3.08978061037606e-182	B2M
CAPN1	0.630099019619743	7.77847008968528e-05	Capn1	0.0543144111321215	0.0013445028830958	CAPN1
CCL5	5.09350236107445	4.09196598432701e-09	Ccl5	0.310634317349814	5.46594717513719e-79	CCL5
CCR5	1.36756978344692	1.33449567650342e-12	Ccr5	0.00325704689328386	0.0475344292573048	CCR5
CD74	2.23001628867811	9.38955321725114e-13	Cd74	0.126248307702537	2.6991355910528e-09	CD74
CKAP4	-1.46988931099727	1.47636776815611e-12	Ckap4	0.0419539215548452	0.0277558137270318	CKAP4
CXCR3	2.42206076267636	3.17355380067407e-12	Cxcr3	0.00492310057315868	0.00876055056203403	CXCR3
DIPK1B	-0.90113473781625	4.973772872072e-09	Dipk1b	0.0344322709049182	0.0123520020328609	DIPK1B
EMP3	-0.745270472587191	8.2371603725497e-10	Emp3	0.0905221614714166	1.56788923265003e-06	EMP3
FCER1G	3.34549882050679	2.3939806788547e-09	Fcer1g	0.0254816692512364	2.18571004977783e-07	FCER1G
GBP1	2.11442668601754	2.41687817143709e-20	Gbp2	0.0347297350538519	0.000544531632924414	GBP1
GBP4	0.910104627793161	1.89265443547889e-19	Gbp7	0.0337300343798621	0.000114065358356128	GBP4
GBP5	1.2563437450718	3.67555138272598e-14	Gbp5	0.00916145093576561	0.00454173285935384	GBP5
GZMB	4.71504879018104	2.62118198977729e-22	Gzmb	0.0519017400470307	1.00163225004018e-14	GZMB
HLA-A	0.682335930990319	7.81511547615468e-17	H2-K1	0.443240749389693	1.54093962386456e-141	HLA-A
HLA-DRB1	5.24097610566343	7.86251023322189e-33	H2-Eb1	0.0629195366455491	0.00299503107602768	HLA-DRB1
IL2RB	3.66774802879247	9.44990126923742e-13	Il2rb	0.0122715857514867	6.8823723601255e-05	IL2RB
IRF1	1.30318009288346	8.3046261273123e-09	Irf1	0.0737205008711994	5.35399040426543e-05	IRF1
IRF9	0.966080455126936	5.04437935012703e-07	Irf9	0.0933307250273486	1.97103158304397e-46	IRF9
ISG15	0.835362693989974	0.000297692798619696	Isg15	0.0422087886905749	0.0235064833898004	ISG15
KLRD1	2.08371628748356	0.0016191167666486	Klrd1	0.0171630432692938	2.19968188548425e-06	KLRD1
LAIR1	1.74033703513935	1.08930139694623e-19	Lair1	0.026290683726594	0.0262712328651735	LAIR1
LGALS3BP	3.50938091612868	8.19410511171307e-41	Lgals3bp	0.0898654954011097	7.7416020184726e-09	LGALS3BP
MDFI	-0.617059755008484	0.0374018337593178	Mdfi	0.0500414840309552	0.000820090702324663	MDFI
MXD3	-0.670571875559476	3.72647192104425e-05	Mxd3	0.0531214295013594	0.000657818219433765	MXD3
NCF1	1.77850982207694	2.42869668216392e-15	Ncf1	0.0144421449308046	0.0425514739558433	NCF1
NCS1	-0.986917273933764	2.37256933670862e-08	Ncs1	0.0416516659664309	0.00414158632641604	NCS1
NKG7	4.15878638467974	8.59412430703021e-10	Nkg7	0.135488478216548	2.78509193348415e-17	NKG7
NLRC5	1.21031293535767	1.73447758851513e-17	Nlrc5	0.0459040213664861	0.000176721200768914	NLRC5
PARP14	1.14152714310883	2.24274905613814e-08	Parp14	0.0326091087731241	0.04499598343403	PARP14
PARP9	0.652271840599296	6.95937922375463e-06	Parp9	0.0383727413634316	0.000618873476213556	PARP9
PIMREG	-0.677586001435116	2.28630578297529e-08	Pimreg	0.0569420000875322	1.79873188011122e-05	PIMREG
PLXNB2	-1.21758131697518	2.17983261657515e-08	Plxnb2	0.0280747983641118	0.0415457253661974	PLXNB2
PRF1	2.58781567220692	4.71582518972811e-07	Prf1	0.0283719718569552	5.03123181866735e-11	PRF1
PRG2	2.50997352147559	0.00273712919042632	Prg2	-0.0325236723957435	0.00369096553009647	PRG2
PRR11	-0.670122984029474	0.00932478996016428	Prr11	0.0465008656399346	0.016084166380592	PRR11
RAB34	-2.37427046080522	0.00120301585051264	Rab34	0.0430838117827526	0.0169174683915882	RAB34
RAB44	1.542800658157	0.000638465709514415	Rab44	0.00510738689309481	0.0127943023512319	RAB44
RAP1GAP2	-0.617041489343721	0.0216423829209859	Rap1gap2	0.0304203452329927	0.0479796820430358	RAP1GAP2
RBMX	-0.716089133177591	0.00137785993249583	Rbmx	0.0443641950608744	0.0386834533121275	RBMX
S100A11	-0.91035578220982	4.37333161356038e-06	S100a11	0.026627723833263	0.00227300574959422	S100A11
SERPINB1	-0.624800916016798	0.00153624307045489	Serpinb1a	0.0181096018596335	0.0318393327741964	SERPINB1
SMTN	-0.58494485594129	0.000427016093532649	Smtn	0.0197424380036941	0.0338108973432927	SMTN
STAT1	2.14120532741806	2.39007195155426e-31	Stat1	0.0903141464949676	2.28886268292281e-11	STAT1
SYT11	0.792380613439724	0.0176790786588078	Syt11	0.0039175517152571	0.0415457253661974	SYT11
TAP1	0.752422727086458	1.37679584519943e-15	Tap1	0.110793276053705	2.35426248377263e-17	TAP1
TK1	-0.718843122011909	5.07210493668376e-05	Tk1	0.0678186395391978	0.000273670515332804	TK1
