Mouse_.Hum_homlg_gene	Mouse_.log2FoldChange	Mouse_.padj	Mouse_.mgi_symbol	kasumi2_.avg_log2FC	kasumi2_.p_adj	kasumi2_.gene
B2M	0.592936404241214	3.63035011858385e-15	B2m	0.648295610025605	2.42082994545143e-231	B2M
BCL3	0.889938300819652	0.0200610062664655	Bcl3	0.0248212083325342	0.0237114576471576	BCL3
CCL5	5.09350236107445	4.09196598432701e-09	Ccl5	0.315373259071741	2.14847822239936e-72	CCL5
CCRL2	1.35859449755916	1.93335940280351e-05	Ccrl2	0.0198354299658861	0.00448506758541086	CCRL2
CD53	-0.751618607609943	2.57103680006431e-07	Cd53	0.10391804194036	4.97935602789417e-06	CD53
CD74	2.23001628867811	9.38955321725114e-13	Cd74	0.108304648514738	0.000103637378782593	CD74
DTX3L	0.699367978047012	1.4849654993734e-09	Dtx3l	0.0863945276332119	0.000165513965181546	DTX3L
FCER1G	3.34549882050679	2.3939806788547e-09	Fcer1g	0.0361512821841407	7.49805358676511e-05	FCER1G
GBP1	2.11442668601754	2.41687817143709e-20	Gbp2	0.311713892305136	1.31716182399296e-33	GBP1
GBP4	0.910104627793161	1.89265443547889e-19	Gbp7	0.267652004831949	1.90208733079017e-30	GBP4
GBP5	1.2563437450718	3.67555138272598e-14	Gbp5	0.0277059722381324	1.52816745358275e-05	GBP5
GIMAP7	0.894345523396264	1.29977145701178e-07	Gimap7	0.0112219557666874	0.0302242619594381	GIMAP7
GSDME	-2.61944206496757	0.00445690576445307	Gsdme	0.0763061174222367	0.0013125812997992	GSDME
GZMA	3.60281528810058	1.87702080062915e-21	Gzma	0.12429382248985	0.000118874559758734	GZMA
GZMB	4.71504879018104	2.62118198977729e-22	Gzmb	0.0505266693343894	3.32183769579206e-17	GZMB
HLA-A	0.682335930990319	7.81511547615468e-17	H2-K1	0.643836483674901	7.79414980961571e-117	HLA-A
HLA-DQB1	1.32040675509117	6.77536534282223e-18	H2-Ab1	0.0311660455267493	0.0284245582636422	HLA-DQB1
HLA-DRB1	5.24097610566343	7.86251023322189e-33	H2-Eb1	0.1241578372845	1.08682885964777e-05	HLA-DRB1
ID2	0.931947882710995	3.97691242140176e-09	Id2	0.0825746973291138	0.00166415785292133	ID2
IFI16	0.961092070406373	0.000504471694291276	Ifi214	0.0413234512571163	0.00604305575058894	IFI16
IFIT1	1.0689424140374	2.15409471695778e-11	Ifit1bl1	0.0223450310890147	0.034043731770491	IFIT1
IL2RB	3.66774802879247	9.44990126923742e-13	Il2rb	0.0180165170584923	7.87368506023691e-07	IL2RB
IRF1	1.30318009288346	8.3046261273123e-09	Irf1	0.501188249143824	1.4918463243174e-64	IRF1
IRF9	0.966080455126936	5.04437935012703e-07	Irf9	0.307845884392811	1.32276507720915e-82	IRF9
ISG15	0.835362693989974	0.000297692798619696	Isg15	0.069421629071817	0.0013125812997992	ISG15
ITGB3	1.04566488081638	6.0799678339076e-09	Itgb3	0.00714405250809105	0.0256602205473084	ITGB3
KLRD1	2.08371628748356	0.0016191167666486	Klrd1	0.0276928895479144	3.78667273951495e-07	KLRD1
LGALS3BP	3.50938091612868	8.19410511171307e-41	Lgals3bp	0.152243631897307	3.01989548208529e-15	LGALS3BP
MAGED1	-1.43809599782659	2.4880338856884e-11	Maged1	0.0286628797384237	0.0292566420581026	MAGED1
MYCBP2	0.730955450688804	1.99676906470496e-07	Mycbp2	0.0432170765792106	0.010469637208349	MYCBP2
NCF1	1.77850982207694	2.42869668216392e-15	Ncf1	0.132935199422162	3.69909319191549e-07	NCF1
NKG7	4.15878638467974	8.59412430703021e-10	Nkg7	0.155197713908296	3.43026312803238e-21	NKG7
NLRC5	1.21031293535767	1.73447758851513e-17	Nlrc5	0.165637340993701	1.8425265730382e-18	NLRC5
NMI	0.596867355552626	9.38645778929135e-06	Nmi	0.0478942975305736	0.0112218276067774	NMI
NQO1	-0.83333968348109	0.00137785993249583	Nqo1	0.126157187240941	0.00414687607862332	NQO1
PARP12	2.06596657869794	0.00545421792803505	Parp12	0.0310224515225995	0.0498455065262897	PARP12
PARP14	1.14152714310883	2.24274905613814e-08	Parp14	0.11903418296835	2.71060340091944e-07	PARP14
PARP9	0.652271840599296	6.95937922375463e-06	Parp9	0.0933346175354495	1.5825657202944e-06	PARP9
PLSCR1	1.50694180566828	0.00178743120294658	Plscr2	0.0407465977374932	0.0125693721446186	PLSCR1
PRF1	2.58781567220692	4.71582518972811e-07	Prf1	0.0210339675334828	7.85285824337502e-08	PRF1
PYCR1	-0.61931654598986	0.00582189317152989	Pycr1	0.0783955019157592	0.000540237776134273	PYCR1
RASAL1	-0.705172534374193	0.00400295276496929	Rasal1	0.0371808096831542	0.0337284491482873	RASAL1
RNF213	2.76900531971629	0.00010493780182592	Rnf213	0.119868199595604	6.19596961328898e-07	RNF213
S100A4	2.42671099502343	4.32069019080145e-06	S100a4	-0.210149061923503	0.000473818928655771	S100A4
SERPINB1	-0.624800916016798	0.00153624307045489	Serpinb1a	0.0474384355202275	0.0120345972108274	SERPINB1
STAT1	2.14120532741806	2.39007195155426e-31	Stat1	0.538087852429865	1.25682860116256e-97	STAT1
TAP1	0.752422727086458	1.37679584519943e-15	Tap1	0.356575406255283	5.50201014913409e-52	TAP1
TMSB15A	2.72270942916938	0.0110840832539252	Tmsb15a	0.0174853696260483	0.0136312749657123	TMSB15A
TNFSF10	1.36929173603581	3.3579164517319e-08	Tnfsf10	0.0245898766353499	0.0145248754149743	TNFSF10
UBE2L6	0.593927299663346	4.89464352630627e-05	Ube2l6	0.36336391659882	4.28521705224217e-46	UBE2L6
