Mouse_.Hum_homlg_gene	Mouse_.log2FoldChange	Mouse_.padj	Mouse_.mgi_symbol	rchacv_.avg_log2FC	rchacv_.p_adj	rchacv_.gene
ANXA2	4.50733740864358	1.27958816528615e-07	Anxa2	0.0601964339319761	0.000159244809285517	ANXA2
APOL1	3.8224813491871	0.00279719300834311	Apol7b	0.0253342017356605	0.00519370022263403	APOL1
B2M	0.592936404241214	3.63035011858385e-15	B2m	0.971284194284724	0	B2M
BCAT2	-0.709043879851828	0.000122874112514133	Bcat2	0.0298176186775371	0.00880901921978457	BCAT2
C1R	-1.23965241568969	4.89464352630627e-05	C1ra	0.00871067858189184	0.0458481131326821	C1R
CAPN1	0.630099019619743	7.77847008968528e-05	Capn1	0.0413225699966872	0.00161240042264458	CAPN1
CCL5	5.09350236107445	4.09196598432701e-09	Ccl5	0.465175937261486	8.00462708971e-82	CCL5
CCR5	1.36756978344692	1.33449567650342e-12	Ccr5	0.00521312570592191	0.0412184002247194	CCR5
CD53	-0.751618607609943	2.57103680006431e-07	Cd53	0.0324719586085903	0.0128068475207442	CD53
CD74	2.23001628867811	9.38955321725114e-13	Cd74	0.341730800206074	9.20509241371514e-40	CD74
CD86	3.92134429704768	9.74305265790145e-07	Cd86	0.00393770334674455	0.024410756584069	CD86
CEBPB	1.00403599573587	0.0254572926127676	Cebpb	0.0477269576309331	0.000339803894029234	CEBPB
CGAS	1.2107239525398	1.10293125172382e-05	Cgas	0.0400671295593482	0.00722673576287695	CGAS
CTSW	2.16796449498648	0.000674141252560063	Ctsw	0.0207062052704841	0.000108164666544172	CTSW
CXCR3	2.42206076267636	3.17355380067407e-12	Cxcr3	0.00797829476342257	0.0134598013596939	CXCR3
DAP	-0.683965060894914	3.08333342009062e-09	Dap	0.0228042871810594	0.0273130109037321	DAP
DAPK2	1.12116016351396	9.38645778929135e-06	Dapk2	0.00694596593253224	0.00430644327113919	DAPK2
DGLUCY	-0.742326476005817	0.00863081435200946	Dglucy	0.0297348319967688	0.0114297485575934	DGLUCY
DNTT	1.10681361636683	7.44735193372382e-06	Dntt	0.1247596198456	0.00791095355538739	DNTT
DTX3L	0.699367978047012	1.4849654993734e-09	Dtx3l	0.11082500536277	6.68178798630773e-10	DTX3L
FCER1G	3.34549882050679	2.3939806788547e-09	Fcer1g	0.0444761580444547	1.9787635295925e-08	FCER1G
GBP1	2.11442668601754	2.41687817143709e-20	Gbp2	0.223914966602566	2.0296304888701e-55	GBP1
GBP4	0.910104627793161	1.89265443547889e-19	Gbp7	0.126495650771837	4.93193003334232e-20	GBP4
GBP5	1.2563437450718	3.67555138272598e-14	Gbp5	0.0214560559787741	9.26967084862851e-07	GBP5
GGH	0.605257428499069	0.0034681155863074	Ggh	0.0308814877166166	0.00447244639818517	GGH
GZMB	4.71504879018104	2.62118198977729e-22	Gzmb	0.0759374294068965	2.64420836926362e-14	GZMB
HLA-A	0.682335930990319	7.81511547615468e-17	H2-K1	0.953299771778142	2.47490775713268e-304	HLA-A
HLA-DMA	1.24018464799693	2.20830805753842e-07	H2-DMa	0.152926205204642	2.45524238654135e-14	HLA-DMA
HLA-DMB	2.05925916203798	3.41747349935935e-20	H2-DMb2	0.033483177944152	0.00372985251747216	HLA-DMB
HLA-DQA1	4.59161750337744	8.56594130703546e-43	H2-Aa	0.0368512171570007	0.00207829852094061	HLA-DQA1
HLA-DQB1	1.32040675509117	6.77536534282223e-18	H2-Ab1	0.0449438933320871	0.000875868884067053	HLA-DQB1
HLA-DRB1	5.24097610566343	7.86251023322189e-33	H2-Eb1	0.168469133392003	9.8948491252678e-19	HLA-DRB1
ID2	0.931947882710995	3.97691242140176e-09	Id2	0.0485478431681249	0.000262271730120176	ID2
IFI16	0.961092070406373	0.000504471694291276	Ifi214	0.136785757031323	3.61607268823382e-12	IFI16
IFI27	1.59112417742753	1.87747290898497e-44	Ifi27	0.0366750647532854	7.79326235757918e-06	IFI27
IFI30	-0.583801366774859	5.9000696194971e-06	Ifi30	0.0274525312838601	0.0357628758559156	IFI30
IFI44	4.41309696742046	1.14639436861731e-06	Ifi44	0.0380371963570421	6.65352496637239e-09	IFI44
IFIH1	1.26240065243124	0.000275923163245054	Ifih1	0.0274705412800399	0.0113550068597461	IFIH1
IL2RB	3.66774802879247	9.44990126923742e-13	Il2rb	0.0221699298241628	2.12307806977155e-07	IL2RB
IRF1	1.30318009288346	8.3046261273123e-09	Irf1	0.529627135125357	1.13924650795389e-94	IRF1
IRF9	0.966080455126936	5.04437935012703e-07	Irf9	0.286204609717661	4.86303860915725e-96	IRF9
ISG15	0.835362693989974	0.000297692798619696	Isg15	0.123096196863324	6.83508372320659e-11	ISG15
ISG20	0.946875049868526	4.973772872072e-09	Isg20	0.0363280491840729	0.000771634460539343	ISG20
ITGB7	2.63718868954947	0.00214188016035281	Itgb7	0.0240912534104381	0.0289075167722386	ITGB7
KLRD1	2.08371628748356	0.0016191167666486	Klrd1	0.0331134813446869	1.88315459142634e-10	KLRD1
