Mouse_.Hum_homlg_gene	Mouse_.log2FoldChange	Mouse_.padj	Mouse_.mgi_symbol	E697_.avg_log2FC	E697_.p_adj	E697_.gene
AHNAK	1.33060648030034	4.041018944928e-22	Ahnak	0.0138129239928145	0.0363852998206087	AHNAK
ANXA2	3.46559666562766	4.92664981875647e-13	Anxa2	0.0762841944037611	1.81759602479131e-06	ANXA2
B2M	0.645860936844187	1.83547960653645e-47	B2m	0.384985436365526	3.08978061037606e-182	B2M
BST2	0.63880995932048	9.16745051654633e-09	Bst2	0.126880597985454	2.44000095251559e-13	BST2
CCL4	7.16533262807334	6.97890410390318e-06	Ccl4	0.0241824232007111	1.99575914154125e-11	CCL4
CCL5	5.303060356309	1.32931124754376e-18	Ccl5	0.310634317349814	5.46594717513719e-79	CCL5
CCR5	0.672811472080639	0.000245283307067091	Ccr5	0.00325704689328386	0.0475344292573048	CCR5
CD247	2.83848986010373	0.000180932954327522	Cd247	0.022152274217123	0.000889585088907476	CD247
CD74	1.2048661015213	3.51675304719228e-09	Cd74	0.126248307702537	2.6991355910528e-09	CD74
CKAP4	-1.05932785761726	2.75292122545907e-11	Ckap4	0.0419539215548452	0.0277558137270318	CKAP4
CXCR3	1.81211983781558	5.30959274713797e-11	Cxcr3	0.00492310057315868	0.00876055056203403	CXCR3
DIPK1B	-0.651365902450261	9.78789581282045e-10	Dipk1b	0.0344322709049182	0.0123520020328609	DIPK1B
FCER1G	1.8384454432619	5.18096524577086e-08	Fcer1g	0.0254816692512364	2.18571004977783e-07	FCER1G
GBP1	1.89389308125394	2.20180045912854e-28	Gbp2	0.0347297350538519	0.000544531632924414	GBP1
GBP4	0.661759066047793	7.9756166931838e-21	Gbp7	0.0337300343798621	0.000114065358356128	GBP4
GBP5	0.873068133366926	2.20890022187148e-12	Gbp5	0.00916145093576561	0.00454173285935384	GBP5
GZMB	3.99386861608136	7.7536884841597e-36	Gzmc	0.0519017400470307	1.00163225004018e-14	GZMB
HLA-A	0.824346261078832	1.0433563963245e-51	H2-K1	0.443240749389693	1.54093962386456e-141	HLA-A
HLA-DRB1	2.08711228714335	6.93836397162163e-08	H2-Eb1	0.0629195366455491	0.00299503107602768	HLA-DRB1
IFITM2	1.1140686098623	3.32268480490628e-09	Ifitm3	0.0685669010716224	0.00123778846045837	IFITM2
IGKC	1.5897923983348	2.96809994438787e-10	Igkc	-0.0628233836801602	1.9542318977315e-28	IGKC
IL2RB	3.86274961591305	2.17425420611433e-26	Il2rb	0.0122715857514867	6.8823723601255e-05	IL2RB
IRF1	1.49407802246649	1.18684790471719e-23	Irf1	0.0737205008711994	5.35399040426543e-05	IRF1
IRF9	1.08667482382031	7.4473708128647e-25	Irf9	0.0933307250273486	1.97103158304397e-46	IRF9
ISG15	0.958207136290762	3.09793821495267e-10	Isg15	0.0422087886905749	0.0235064833898004	ISG15
ITGA1	1.02688730750722	0.0461073270807196	Itga1	0.0200053901585115	1.37115972362276e-06	ITGA1
KLRB1	1.30889220885233	0.000133611358753625	Klrb1c	0.0238109370983686	3.12925785699755e-09	KLRB1
KLRC1	4.88021593180819	3.65262675904312e-05	Klrc2	0.0120960403700793	1.79423351777661e-05	KLRC1
KLRD1	0.730726151396871	0.0270630767288757	Klrd1	0.0171630432692938	2.19968188548425e-06	KLRD1
LAIR1	1.64706172164157	2.48862474444538e-30	Lair1	0.026290683726594	0.0262712328651735	LAIR1
LGALS3BP	3.31425610193933	5.13805264430955e-100	Lgals3bp	0.0898654954011097	7.7416020184726e-09	LGALS3BP
LYZ	0.954894679974949	7.65781913179872e-06	Lyz2	0.192180624086022	6.83998532697183e-26	LYZ
MARCKS	-1.73817173268411	2.99821176934864e-11	Marcks	0.0416891766037334	0.0462686426500268	MARCKS
NCF1	1.79903602728037	1.65370284636828e-33	Ncf1	0.0144421449308046	0.0425514739558433	NCF1
NCS1	-0.749655184814548	2.17833942756938e-10	Ncs1	0.0416516659664309	0.00414158632641604	NCS1
NKG7	4.28665572071454	3.47994371386959e-21	Nkg7	0.135488478216548	2.78509193348415e-17	NKG7
NLRC5	1.23777328465106	6.77826408542982e-35	Nlrc5	0.0459040213664861	0.000176721200768914	NLRC5
OASL	4.28733298566538	0.000392613263907576	Oasl1	0.00584213981770726	0.0045980203387832	OASL
PARP14	1.06998914045763	3.1182224866096e-14	Parp14	0.0326091087731241	0.04499598343403	PARP14
PRF1	2.94404510349451	5.24789924662072e-15	Prf1	0.0283719718569552	5.03123181866735e-11	PRF1
PSMB9	0.763010734521377	3.56409089555445e-15	Psmb9	0.259818330657506	5.09098105689884e-51	PSMB9
RAB44	0.781662767735095	0.0230924171236602	Rab44	0.00510738689309481	0.0127943023512319	RAB44
STAT1	1.98731281772569	1.05183041758349e-57	Stat1	0.0903141464949676	2.28886268292281e-11	STAT1
TAP1	0.824521780484409	1.25238489056101e-48	Tap1	0.110793276053705	2.35426248377263e-17	TAP1
TMSB15A	4.02033939681188	0.000270205915801626	Tmsb15a	0.0581649703381616	0.0110617006301046	TMSB15A
TYROBP	2.21049302603028	1.1374636237093e-09	Tyrobp	0.0371024463532551	1.23200898743703e-05	TYROBP
UBE2L6	0.793212104352676	7.29915981423472e-17	Ube2l6	0.105677940019982	7.46215684158542e-12	UBE2L6
