Mouse_.Hum_homlg_gene	Mouse_.log2FoldChange	Mouse_.padj	Mouse_.mgi_symbol	nalm6_.avg_log2FC	nalm6_.p_adj	nalm6_.gene
ABHD5	0.829447704433954	0.00729524927096777	Abhd5	0.00980062944589596	0.0372210471022843	ABHD5
ADPRHL1	4.23785703344604	5.18096524577086e-08	Adprhl1	0.0398476344413116	2.78970297248093e-05	ADPRHL1
B2M	0.645860936844187	1.83547960653645e-47	B2m	0.115640349959405	3.33074402463016e-24	B2M
BCL3	1.3212538214875	4.70908834034771e-08	Bcl3	0.00968024486591816	0.0125131255422574	BCL3
BST2	0.63880995932048	9.16745051654633e-09	Bst2	0.0626644249955157	1.50255492262021e-07	BST2
CALHM6	0.650153696193879	1.62137441968296e-05	Calhm6	0.0133550739624612	0.0069477795933562	CALHM6
CASP7	0.672600351740428	0.000193727958663553	Casp7	0.0301732419879346	4.05837464352658e-05	CASP7
CCL4	7.16533262807334	6.97890410390318e-06	Ccl4	0.0239420417827151	2.33238807533404e-11	CCL4
CCL5	5.303060356309	1.32931124754376e-18	Ccl5	0.219399131533228	4.43025568126684e-25	CCL5
CCNB1IP1	-0.702914458005718	0.0116192038027248	Ccnb1ip1	-0.0031465464246222	0.0323864560829927	CCNB1IP1
CD22	-0.886511532433474	1.32159808829255e-05	Cd22	0.10366112722665	2.1697781146693e-14	CD22
CEBPB	1.54637851373532	4.66963568906931e-15	Cebpb	0.0592480288913714	7.35025068252623e-08	CEBPB
CHST11	-1.12832869209553	0.000419067861429076	Chst11	0.0252094368286511	0.000688949836174107	CHST11
CTSW	2.3650668384822	2.39541132244994e-06	Ctsw	0.0139889159028593	0.00518913785163628	CTSW
DAPK2	1.11064262224548	4.26141120955575e-12	Dapk2	0.00477294557498732	0.00796762122939532	DAPK2
DTX3L	0.58564281903242	1.0110422074012e-16	Dtx3l	0.0192293459687563	0.00100220161257896	DTX3L
DUSP1	-0.627121948151539	2.67697411875442e-05	Dusp1	0.0171770546395255	0.0268299792334694	DUSP1
EPHB4	-0.646191533531824	0.0106801185181107	Ephb4	0.0278498331182941	0.000118772617924294	EPHB4
EXTL2	-1.00697412815119	0.00361643996039102	Extl2	0.0114645560873766	0.0104866469439673	EXTL2
FCER1G	1.8384454432619	5.18096524577086e-08	Fcer1g	0.0184319141621373	0.00462646943334501	FCER1G
FOS	-1.42671790485395	9.10631851359698e-07	Fos	-0.0155082567884069	0.0302466567750105	FOS
GBP1	1.89389308125394	2.20180045912854e-28	Gbp2	0.0590336291275975	6.0999622252144e-11	GBP1
GBP4	0.661759066047793	7.9756166931838e-21	Gbp7	0.0466001157338142	1.42019994544343e-05	GBP4
GBP5	0.873068133366926	2.20890022187148e-12	Gbp5	0.0155231712856899	2.56044781131703e-05	GBP5
GCA	1.63857242880283	5.2008255153819e-09	Gca	0.0264015792427209	0.000508333291612284	GCA
GZMA	3.67974267987024	3.23342719531884e-32	Gzma	0.0279066586596105	0.00027404599277297	GZMA
GZMB	3.99386861608136	7.7536884841597e-36	Gzmc	0.0253241846355723	2.34755994267294e-05	GZMB
HLA-A	0.824346261078832	1.0433563963245e-51	H2-K1	0.0856992815522968	1.15501999539464e-11	HLA-A
HLA-DMA	0.805306574663366	1.69677871682347e-06	H2-DMa	0.00341347943528053	0.045722909495631	HLA-DMA
HLA-DMB	0.704908924522788	0.000202036634551222	H2-DMb2	0.0200707869740455	0.00426303141597848	HLA-DMB
HLA-DQA1	2.28556495204734	1.45027441865627e-14	H2-Aa	0.0112154380113194	0.0347556283355121	HLA-DQA1
HLA-DRB1	2.08711228714335	6.93836397162163e-08	H2-Eb1	0.00788238302983602	0.000861964662661191	HLA-DRB1
IFI16	1.49601825775733	5.29102580730655e-11	Ifi214	0.00378825007887085	0.0206829036176147	IFI16
IFI27	1.47707057187981	2.26705768761962e-98	Ifi27	0.0275172564413025	1.22922798277072e-06	IFI27
IFI44	5.13040024375835	2.81822973546276e-15	Ifi44	0.018244884428173	6.40048792211341e-05	IFI44
IFIT1	1.25832800099891	1.72940446708507e-27	Ifit1bl1	0.0108519195193467	0.0430471623079678	IFIT1
IFT81	-0.9287817827547	0.0185112189352224	Ift81	0.0172707478401567	0.00764868191327176	IFT81
IL2RB	3.86274961591305	2.17425420611433e-26	Il2rb	0.0101559089608361	4.4270733565239e-05	IL2RB
IRF1	1.49407802246649	1.18684790471719e-23	Irf1	0.00673995544010675	0.00665978346225053	IRF1
IRF7	2.0366899086758	4.64578082293633e-06	Irf7	0.0142460061161206	0.0181639467937752	IRF7
ISG15	0.958207136290762	3.09793821495267e-10	Isg15	0.0533322264719564	2.34636819190905e-08	ISG15
ISG20	1.02103589525843	1.30513702288828e-18	Isg20	0.0117451434230267	0.0420570836781936	ISG20
ITGA1	1.02688730750722	0.0461073270807196	Itga1	0.0144077978367205	2.04100013848839e-05	ITGA1
KLRB1	1.30889220885233	0.000133611358753625	Klrb1c	0.0160568164935299	8.58415686875542e-05	KLRB1
KLRC1	4.88021593180819	3.65262675904312e-05	Klrc2	0.0100543538234199	0.00318532049239907	KLRC1
KLRD1	0.730726151396871	0.0270630767288757	Klrd1	0.0121877667929315	4.95889333068547e-05	KLRD1
LDLRAD3	-0.731944275215905	0.000211600158764891	Ldlrad3	0.0148222532006294	0.00732687498596127	LDLRAD3
MAGED1	-0.900334217747284	3.67445916838989e-11	Maged1	0.0356060626159602	2.23911638047306e-05	MAGED1
MXD4	0.630106467272418	3.00813105633063e-14	Mxd4	0.0375011245412649	7.95589789841031e-05	MXD4
MYH10	-0.994147394930913	4.67156144629497e-12	Myh10	0.03186641676095	0.000164855715541779	MYH10
