Mouse_.Hum_homlg_gene	Mouse_.log2FoldChange	Mouse_.padj	Mouse_.mgi_symbol	rchacv_.avg_log2FC	rchacv_.p_adj	rchacv_.gene
ADAM8	1.11152025007329	0.0480194754576979	Adam8	0.0178568068068358	6.96121633982979e-06	ADAM8
ANXA2	3.46559666562766	4.92664981875647e-13	Anxa2	0.0601964339319761	0.000159244809285517	ANXA2
APOL1	3.65553449575871	0.00024353448221108	Apol7b	0.0253342017356605	0.00519370022263403	APOL1
B2M	0.645860936844187	1.83547960653645e-47	B2m	0.971284194284724	0	B2M
BST2	0.63880995932048	9.16745051654633e-09	Bst2	0.30302740701382	2.65222946233325e-43	BST2
C1R	-0.899677864829848	0.000119130130737367	C1ra	0.00871067858189184	0.0458481131326821	C1R
CALHM6	0.650153696193879	1.62137441968296e-05	Calhm6	0.0215434363986312	0.0243124350181129	CALHM6
CBR3	-1.04658462608075	0.0148818820868814	Cbr3	0.0224998954085081	0.00525574686840815	CBR3
CCL4	7.16533262807334	6.97890410390318e-06	Ccl4	0.11335070199657	4.50690264763963e-10	CCL4
CCL5	5.303060356309	1.32931124754376e-18	Ccl5	0.465175937261486	8.00462708971e-82	CCL5
CCNB1IP1	-0.702914458005718	0.0116192038027248	Ccnb1ip1	0.00990629785472419	0.0446897696849003	CCNB1IP1
CCR5	0.672811472080639	0.000245283307067091	Ccr5	0.00521312570592191	0.0412184002247194	CCR5
CD247	2.83848986010373	0.000180932954327522	Cd247	0.0339513687439864	0.0272553443173344	CD247
CD74	1.2048661015213	3.51675304719228e-09	Cd74	0.341730800206074	9.20509241371514e-40	CD74
CD86	1.53901726160964	7.81991436371808e-07	Cd86	0.00393770334674455	0.024410756584069	CD86
CEBPB	1.54637851373532	4.66963568906931e-15	Cebpb	0.0477269576309331	0.000339803894029234	CEBPB
CGAS	0.773400065732899	4.66297579608498e-05	Cgas	0.0400671295593482	0.00722673576287695	CGAS
CHST11	-1.12832869209553	0.000419067861429076	Chst11	0.0377352692795658	0.00466306968728083	CHST11
CTSW	2.3650668384822	2.39541132244994e-06	Ctsw	0.0207062052704841	0.000108164666544172	CTSW
CXCR3	1.81211983781558	5.30959274713797e-11	Cxcr3	0.00797829476342257	0.0134598013596939	CXCR3
DAPK2	1.11064262224548	4.26141120955575e-12	Dapk2	0.00694596593253224	0.00430644327113919	DAPK2
DNTT	0.801626390819538	0.000239366925771273	Dntt	0.1247596198456	0.00791095355538739	DNTT
DTX3L	0.58564281903242	1.0110422074012e-16	Dtx3l	0.11082500536277	6.68178798630773e-10	DTX3L
EOMES	3.55342211502259	0.00019013393363205	Eomes	0.0137873671977477	0.0127148610538441	EOMES
FCER1G	1.8384454432619	5.18096524577086e-08	Fcer1g	0.0444761580444547	1.9787635295925e-08	FCER1G
GBP1	1.89389308125394	2.20180045912854e-28	Gbp2	0.223914966602566	2.0296304888701e-55	GBP1
GBP4	0.661759066047793	7.9756166931838e-21	Gbp7	0.126495650771837	4.93193003334232e-20	GBP4
GBP5	0.873068133366926	2.20890022187148e-12	Gbp5	0.0214560559787741	9.26967084862851e-07	GBP5
GLDC	-0.75643274250733	0.00269707303610522	Gldc	0.0293605168350522	0.00702734381127141	GLDC
GZMB	3.99386861608136	7.7536884841597e-36	Gzmc	0.0759374294068965	2.64420836926362e-14	GZMB
HLA-A	0.824346261078832	1.0433563963245e-51	H2-K1	0.953299771778142	2.47490775713268e-304	HLA-A
HLA-DMA	0.805306574663366	1.69677871682347e-06	H2-DMa	0.152926205204642	2.45524238654135e-14	HLA-DMA
HLA-DMB	0.704908924522788	0.000202036634551222	H2-DMb2	0.033483177944152	0.00372985251747216	HLA-DMB
HLA-DQA1	2.28556495204734	1.45027441865627e-14	H2-Aa	0.0368512171570007	0.00207829852094061	HLA-DQA1
HLA-DRB1	2.08711228714335	6.93836397162163e-08	H2-Eb1	0.168469133392003	9.8948491252678e-19	HLA-DRB1
HLX	-0.669089313069847	0.0196686000881649	Hlx	0.0314818946981653	0.0268875215929155	HLX
IFI16	1.49601825775733	5.29102580730655e-11	Ifi214	0.136785757031323	3.61607268823382e-12	IFI16
IFI27	1.47707057187981	2.26705768761962e-98	Ifi27	0.0366750647532854	7.79326235757918e-06	IFI27
IFI44	5.13040024375835	2.81822973546276e-15	Ifi44	0.0380371963570421	6.65352496637239e-09	IFI44
IFIH1	1.79246609359135	1.22898862997246e-18	Ifih1	0.0274705412800399	0.0113550068597461	IFIH1
IFITM2	1.1140686098623	3.32268480490628e-09	Ifitm3	0.0171206153002386	0.03722449300431	IFITM2
IL2RB	3.86274961591305	2.17425420611433e-26	Il2rb	0.0221699298241628	2.12307806977155e-07	IL2RB
IRF1	1.49407802246649	1.18684790471719e-23	Irf1	0.529627135125357	1.13924650795389e-94	IRF1
IRF7	2.0366899086758	4.64578082293633e-06	Irf7	0.037218333664058	0.000234662400062812	IRF7
IRF9	1.08667482382031	7.4473708128647e-25	Irf9	0.286204609717661	4.86303860915725e-96	IRF9
