Mouse_.Hum_homlg_gene	Mouse_.log2FoldChange	Mouse_.padj	Mouse_.mgi_symbol	kasumi2_.avg_log2FC	kasumi2_.p_adj	kasumi2_.gene
ADCY6	-0.712259555735871	8.42221889596484e-05	Adcy6	0.0362067162435457	0.027429366052667	ADCY6
B2M	0.676973887355442	1.8141460037597e-33	B2m	0.648295610025605	2.42082994545143e-231	B2M
BCL3	1.38131956153966	4.95313097949922e-06	Bcl3	0.0248212083325342	0.0237114576471576	BCL3
BST2	0.768841811727999	3.27598321732753e-07	Bst2	0.15771574297218	5.28331645071367e-09	BST2
CCL4	6.99240537350704	4.50418694680944e-05	Ccl4	0.0567695227254346	2.99510510802251e-21	CCL4
CCL5	4.94212863014105	8.94467803389799e-09	Ccl5	0.315373259071741	2.14847822239936e-72	CCL5
CCRL2	0.868193173334275	0.00473993203534371	Ccrl2	0.0198354299658861	0.00448506758541086	CCRL2
CD74	0.620896560474251	0.000366519351720703	Cd74	0.108304648514738	0.000103637378782593	CD74
FCER1G	1.30265382191286	0.00202526768138154	Fcer1g	0.0361512821841407	7.49805358676511e-05	FCER1G
GALNT6	-0.946679481361639	0.0100089229457874	Galnt6	0.0117423940495458	0.0294464394410766	GALNT6
GBP1	1.76811490900291	5.50380792636262e-15	Gbp2	0.311713892305136	1.31716182399296e-33	GBP1
GBP5	0.638094265377416	1.99777739422302e-05	Gbp5	0.0277059722381324	1.52816745358275e-05	GBP5
GZMA	3.56078364315235	1.11982370220355e-14	Gzma	0.12429382248985	0.000118874559758734	GZMA
GZMB	4.26377213043145	3.77218310001086e-24	Gzmc	0.0505266693343894	3.32183769579206e-17	GZMB
HLA-A	1.4759803735915	6.93006718039814e-51	H2-Q7	0.643836483674901	7.79414980961571e-117	HLA-A
IFI16	1.91606091653377	5.95848539688499e-07	Ifi214	0.0413234512571163	0.00604305575058894	IFI16
IFIT1	1.38003502054355	7.93515702748203e-16	Ifit1bl1	0.0223450310890147	0.034043731770491	IFIT1
IFITM2	1.80824283482136	3.581458354531e-27	Ifitm3	0.0326983984531437	0.0474777953704903	IFITM2
IL2RB	3.86559874147724	3.17414477974178e-15	Il2rb	0.0180165170584923	7.87368506023691e-07	IL2RB
IRF1	1.58936398596645	2.35707242246011e-15	Irf1	0.501188249143824	1.4918463243174e-64	IRF1
IRF7	2.00856246122109	0.000480329459448347	Irf7	0.030318898242941	0.0424840805196553	IRF7
IRF9	1.13256308232209	1.00516695677325e-21	Irf9	0.307845884392811	1.32276507720915e-82	IRF9
ISG15	0.964368338065789	1.01917275322382e-05	Isg15	0.069421629071817	0.0013125812997992	ISG15
ITGB3	0.689618604417127	0.000480329459448347	Itgb3	0.00714405250809105	0.0256602205473084	ITGB3
KLRB1	1.67027135566175	0.00467967029452235	Klrb1c	0.0298086331969519	1.13690158927362e-10	KLRB1
LGALS3BP	3.20435794686371	4.38042343891641e-78	Lgals3bp	0.152243631897307	3.01989548208529e-15	LGALS3BP
LYZ	1.75291163513123	9.4953645787396e-09	Lyz2	0.0685397871617707	0.00022813986448466	LYZ
NCF1	1.77787664804488	3.07682037573663e-20	Ncf1	0.132935199422162	3.69909319191549e-07	NCF1
NKG7	4.07338792955117	2.63293111659752e-11	Nkg7	0.155197713908296	3.43026312803238e-21	NKG7
NLRC5	1.23151361595023	6.65588235686233e-19	Nlrc5	0.165637340993701	1.8425265730382e-18	NLRC5
PARP12	1.9606727291083	7.99046848134091e-05	Parp12	0.0310224515225995	0.0498455065262897	PARP12
PARP14	0.965148103336247	8.50302361952318e-07	Parp14	0.11903418296835	2.71060340091944e-07	PARP14
PRF1	3.08364790448232	2.48147178152674e-10	Prf1	0.0210339675334828	7.85285824337502e-08	PRF1
PRTN3	0.980662562576585	0.0267478369141821	Prtn3	-0.274377046950902	2.35443508628102e-13	PRTN3
PSMB9	0.897901302137876	1.13902958983746e-10	Psmb9	0.574159164098009	1.05310271172743e-89	PSMB9
PSME1	0.583418393339914	8.12609842738226e-23	Psme1	0.185155837332151	2.17047972500205e-16	PSME1
RNF213	2.80660327351189	3.86101631836584e-07	Rnf213	0.119868199595604	6.19596961328898e-07	RNF213
SP140	0.695732231757199	2.85256252806246e-07	Sp140	0.0038249529848213	0.0470609953799913	SP140
STAT1	1.88656181916535	7.96056754872482e-32	Stat1	0.538087852429865	1.25682860116256e-97	STAT1
TAP1	0.863371729000844	3.11292292254248e-36	Tap1	0.356575406255283	5.50201014913409e-52	TAP1
TNFSF10	1.06154714577425	2.37290417499565e-05	Tnfsf10	0.0245898766353499	0.0145248754149743	TNFSF10
TOR3A	0.610301708646768	0.0187538785592548	Tor3a	0.0450950792312155	0.0223104307899022	TOR3A
UBE2L6	0.892468205531993	1.19242374914513e-13	Ube2l6	0.36336391659882	4.28521705224217e-46	UBE2L6
