Mouse_.Hum_homlg_gene	Mouse_.log2FoldChange	Mouse_.padj	Mouse_.mgi_symbol	nalm6_.avg_log2FC	nalm6_.p_adj	nalm6_.gene
ABHD5	0.792004423960268	0.0345199428407187	Abhd5	0.00980062944589596	0.0372210471022843	ABHD5
ARMH3	0.690666363992675	0.0066035584515849	Armh3	0.00930656321139485	0.0472858546324536	ARMH3
B2M	0.676973887355442	1.8141460037597e-33	B2m	0.115640349959405	3.33074402463016e-24	B2M
BCL3	1.38131956153966	4.95313097949922e-06	Bcl3	0.00968024486591816	0.0125131255422574	BCL3
BST2	0.768841811727999	3.27598321732753e-07	Bst2	0.0626644249955157	1.50255492262021e-07	BST2
CALHM6	0.735175614036044	0.00211197159241957	Calhm6	0.0133550739624612	0.0069477795933562	CALHM6
CASP7	1.08553261538603	5.22617128473102e-05	Casp7	0.0301732419879346	4.05837464352658e-05	CASP7
CCL4	6.99240537350704	4.50418694680944e-05	Ccl4	0.0239420417827151	2.33238807533404e-11	CCL4
CCL5	4.94212863014105	8.94467803389799e-09	Ccl5	0.219399131533228	4.43025568126684e-25	CCL5
CCNB1IP1	-1.07413111251081	0.00123470261432408	Ccnb1ip1	-0.0031465464246222	0.0323864560829927	CCNB1IP1
CD63	1.63717259607527	0.0178270655974275	Cd63	0.0251968089734353	4.46328942124418e-05	CD63
CEBPB	1.67853290501388	1.75485282924581e-19	Cebpb	0.0592480288913714	7.35025068252623e-08	CEBPB
CHST11	-1.74283246709304	1.00515556953668e-06	Chst11	0.0252094368286511	0.000688949836174107	CHST11
CPNE2	0.598786099100524	0.000198640210886422	Cpne2	0.0324317478740381	7.20321725094905e-05	CPNE2
CRYBG1	0.83323947662957	0.0059250190311298	Crybg1	0.0408447470951309	5.30984228776978e-06	CRYBG1
DAPK2	1.0484682184672	2.47892806838706e-06	Dapk2	0.00477294557498732	0.00796762122939532	DAPK2
EGR1	-0.601734445958643	0.0193452048585032	Egr1	-0.0152173821155188	0.019819320664578	EGR1
EPDR1	-0.825400124521908	0.00872947184341491	Epdr1	0.0144702079425926	0.0130498295064914	EPDR1
FCER1G	1.30265382191286	0.00202526768138154	Fcer1g	0.0184319141621373	0.00462646943334501	FCER1G
FOS	-2.00905040519008	8.69415887877055e-09	Fos	-0.0155082567884069	0.0302466567750105	FOS
GALNT6	-0.946679481361639	0.0100089229457874	Galnt6	0.0109111806668952	0.0331563561672399	GALNT6
GBP1	1.76811490900291	5.50380792636262e-15	Gbp2	0.0590336291275975	6.0999622252144e-11	GBP1
GBP5	0.638094265377416	1.99777739422302e-05	Gbp5	0.0155231712856899	2.56044781131703e-05	GBP5
GCA	1.72146951115261	7.18295946498511e-05	Gca	0.0264015792427209	0.000508333291612284	GCA
GZMA	3.56078364315235	1.11982370220355e-14	Gzma	0.0279066586596105	0.00027404599277297	GZMA
GZMB	4.26377213043145	3.77218310001086e-24	Gzmc	0.0253241846355723	2.34755994267294e-05	GZMB
HLA-A	1.4759803735915	6.93006718039814e-51	H2-Q7	0.0856992815522968	1.15501999539464e-11	HLA-A
HLA-DQA1	1.01846540817726	0.0030241296159278	H2-Aa	0.0112154380113194	0.0347556283355121	HLA-DQA1
